state,state_abbr,chip_structure_category,january_2019_total_medicaid_chip_enrollment,february_2026_total_medicaid_chip_enrollment,percent_change_jan_2019_to_feb_2026_total,observed_peak_month,observed_peak_enrollment,percent_decline_peak_to_feb_2026_total,february_2026_below_january_2019_baseline,medicaid_january_2019_enrollment,medicaid_february_2026_enrollment,medicaid_percent_change_jan_2019_to_feb_2026,chip_january_2019_enrollment,chip_february_2026_enrollment,chip_percent_change_jan_2019_to_feb_2026
Alabama,AL,CHIP Medicaid expansion and separate CHIP,908319.0,936918.0,3.148563445221338,2023-06-01,1204334.0,22.204471517037632,False,735098.0,740700.0,0.7620752607135376,173221.0,196218.0,13.276103936589676
Alaska,AK,CHIP Medicaid expansion only,216175.0,210442.0,-2.652018040939054,2023-04-01,268069.0,21.49707724503766,True,201038.0,197587.0,-1.7165908932639602,15137.0,12855.0,-15.07564246548193
Arizona,AZ,CHIP Medicaid expansion and separate CHIP,1701450.0,1639141.0,-3.6621117282318023,2023-03-01,2332111.0,29.71428032370672,True,1597610.0,1527741.0,-4.3733451843691515,103840.0,111400.0,7.280431432973806
Arkansas,AR,CHIP Medicaid expansion and separate CHIP,850344.0,798482.0,-6.098943486400798,2023-03-01,1087844.0,26.599585970047173,True,759851.0,715111.0,-5.8879964624643515,90493.0,83371.0,-7.87022200612202
California,CA,CHIP Medicaid expansion and separate CHIP,11914394.0,12447923.0,4.478020451564721,2023-06-01,14462560.0,13.930016539257226,False,10603177.0,11206969.0,5.694444221764854,1311217.0,1240954.0,-5.358609597038477
Colorado,CO,CHIP Medicaid expansion and separate CHIP,1278203.0,1183855.0,-7.38130015341851,2023-05-01,1728610.0,31.514048860066758,True,1127622.0,1044511.0,-7.370466344218187,150581.0,139344.0,-7.462428858886579
Connecticut,CT,Separate CHIP only,861977.0,903159.0,4.777621676680469,2023-04-01,1021298.0,11.567534647086356,False,841860.0,877669.0,4.253557598650607,20117.0,25490.0,26.70875379032659
Delaware,DE,CHIP Medicaid expansion and separate CHIP,232614.0,238342.0,2.4624485198655286,2023-07-01,310479.0,23.234099568730894,False,219799.0,224335.0,2.0637036565225504,12815.0,14007.0,9.301599687865782
District of Columbia,DC,CHIP Medicaid expansion and separate CHIP,253658.0,239206.0,-5.697435129189697,2023-05-01,297395.0,19.5662334605491,True,237216.0,223016.0,-5.986105490354783,16442.0,16190.0,-1.5326602603089647
Florida,FL,CHIP Medicaid expansion and separate CHIP,3679990.0,3580247.0,-2.7104149739537333,2023-04-01,5118562.0,30.05365569470488,True,3450613.0,3414969.0,-1.0329758799378546,229377.0,165278.0,-27.94482445929627
