state,state_abbr,january_2019_total_medicaid_chip_enrollment,february_2020_total_medicaid_chip_enrollment,february_2026_total_medicaid_chip_enrollment,raw_change_jan_2019_to_feb_2026,percent_change_jan_2019_to_feb_2026,below_january_2019_baseline,raw_change_feb_2020_to_feb_2026,percent_change_feb_2020_to_feb_2026,below_february_2020_baseline
Alabama,AL,908319.0,921462.0,936918.0,28599.0,3.148563445221338,no,15456.0,1.67733449670198,no
Alaska,AK,216175.0,222941.0,210442.0,-5733.0,-2.652018040939054,yes,-12499.0,-5.606416047295024,yes
Arizona,AZ,1701450.0,1705789.0,1639141.0,-62309.0,-3.6621117282318023,yes,-66648.0,-3.9071655404038834,yes
Arkansas,AR,850344.0,864334.0,798482.0,-51862.0,-6.098943486400798,yes,-65852.0,-7.618814023282666,yes
California,CA,11914394.0,11590601.0,12447923.0,533529.0,4.478020451564721,no,857322.0,7.396700136602062,no
Colorado,CO,1278203.0,1235308.0,1183855.0,-94348.0,-7.38130015341851,yes,-51453.0,-4.165196048272982,yes
Connecticut,CT,861977.0,844967.0,903159.0,41182.0,4.777621676680469,no,58192.0,6.886896174643507,no
Delaware,DE,232614.0,231742.0,238342.0,5728.0,2.4624485198655286,no,6600.0,2.847994752785425,no
District of Columbia,DC,253658.0,241674.0,239206.0,-14452.0,-5.697435129189697,yes,-2468.0,-1.021210390857105,yes
Florida,FL,3679990.0,3600457.0,3580247.0,-99743.0,-2.7104149739537333,yes,-20210.0,-0.5613176327338446,yes
Georgia,GA,1838259.0,1833759.0,1841369.0,3110.0,0.16918181823127207,no,7610.0,0.4149945549006167,no
Hawaii,HI,330410.0,325667.0,387233.0,56823.0,17.197724039829303,no,61566.0,18.904586586912398,no
Idaho,ID,267944.0,319534.0,311066.0,43122.0,16.093661362075657,no,-8468.0,-2.6501092215538877,yes
Illinois,IL,2984833.0,2947846.0,2988258.0,3425.0,0.11474678817876914,no,40412.0,1.3708992939251234,no
Indiana,IN,1339542.0,1387931.0,1438283.0,98741.0,7.371250770785835,no,50352.0,3.62784605286574,no
Iowa,IA,673101.0,677141.0,670025.0,-3076.0,-0.4569893671232103,yes,-7116.0,-1.0508889581342733,yes
Kansas,KS,390420.0,378292.0,396574.0,6154.0,1.5762512166384919,no,18282.0,4.832774681991689,no
Kentucky,KY,1314498.0,1288129.0,1305256.0,-9242.0,-0.703082089132125,yes,17127.0,1.3296028580988395,no
Louisiana,LA,1551791.0,1495354.0,1367435.0,-184356.0,-11.880208095033415,yes,-127919.0,-8.554429252203825,yes
Maine,ME,242300.0,267482.0,334056.0,91756.0,37.8687577383409,no,66574.0,24.889151419534773,no
Maryland,MD,1327948.0,1330660.0,1388290.0,60342.0,4.544003229042101,no,57630.0,4.330933521711031,no
Massachusetts,MA,1581392.0,1571761.0,1567203.0,-14189.0,-0.8972474882887987,yes,-4558.0,-0.28999319871150897,yes
Michigan,MI,2335095.0,2330401.0,2194454.0,-140641.0,-6.022924120860179,yes,-135947.0,-5.833631207676276,yes
Minnesota,MN,1057747.0,1044409.0,1135076.0,77329.0,7.310727423476503,no,90667.0,8.681177584643564,no
Mississippi,MS,592471.0,584765.0,587137.0,-5334.0,-0.9002972297378268,yes,2372.0,0.405633032072713,no
Missouri,MO,907896.0,855282.0,1242164.0,334268.0,36.8178734128138,no,386882.0,45.23443729670448,no
Montana,MT,280455.0,252740.0,208151.0,-72304.0,-25.780963077855628,yes,-44589.0,-17.642241038221094,yes
Nebraska,NE,246966.0,248633.0,333666.0,86700.0,35.106046986224825,no,85033.0,34.20020673040184,no
Nevada,NV,635194.0,625358.0,727300.0,92106.0,14.500451830464394,no,101942.0,16.301382568065012,no
New Hampshire,NH,183652.0,181726.0,172022.0,-11630.0,-6.332629102868468,yes,-9704.0,-5.33990733301784,yes
New Jersey,NJ,1730812.0,1701569.0,1739068.0,8256.0,0.4770015460951276,no,37499.0,2.2037895612813823,no
New Mexico,NM,734585.0,744994.0,680107.0,-54478.0,-7.416160144843688,yes,-64887.0,-8.709734575043557,yes
New York,NY,6138988.0,5987770.0,6423072.0,284084.0,4.627537959025169,no,435302.0,7.2698517144112085,no
North Carolina,NC,1911664.0,1860901.0,2849341.0,937677.0,49.05030381908118,no,988440.0,53.11620553699525,no
North Dakota,ND,91060.0,89991.0,103737.0,12677.0,13.921590160333846,no,13746.0,15.274860819415276,no
Ohio,OH,2650556.0,2596917.0,2681863.0,31307.0,1.181148408107582,no,84946.0,3.2710325358877466,no
