check_type,field_name,value,percent,notes
dataset_summary,raw_row_count,10710,,Rows in the downloaded CMS source CSV before filtering.
dataset_summary,cleaned_row_count,4386,,Rows after filtering to 2019-present and 50 states plus DC.
duplicate_check,source_state_abbreviation_reporting_month,4335,,Duplicate state-month records in the source extract before preferring final/updated reports.
duplicate_check,cleaned_state_abbreviation_reporting_month,0,0.0,Duplicate count at the state-month grain after cleaning.
value_check,negative_numeric_values,0,,Negative values across preserved numeric enrollment and operations fields.
value_check,zero_numeric_values,5244,,Zero values across preserved numeric fields; zeros may be valid or may require source review.
field_missingness,state_abbreviation,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,state_name,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,reporting_period,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,reporting_month,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,reporting_year,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,state_expanded_medicaid,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,preliminary_or_updated,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,final_report,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,new_applications_submitted_to_medicaid_and_chip_agencies,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,applications_for_financial_assistance_submitted_to_the_state_based_marketplace,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,total_applications_for_financial_assistance_submitted_at_state_level,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,individuals_determined_eligible_for_medicaid_at_application,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,individuals_determined_eligible_for_chip_at_application,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,total_medicaid_and_chip_determinations,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,medicaid_and_chip_child_enrollment,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,total_medicaid_and_chip_enrollment,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
field_missingness,total_medicaid_enrollment,0,0.0,Missing values counted after filtering to 2019-present and 50 states plus DC.
