state_abbreviation,state_name,reporting_period,reporting_month,reporting_year,state_expanded_medicaid,preliminary_or_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,applications_for_financial_assistance_submitted_to_the_state_based_marketplace,total_applications_for_financial_assistance_submitted_at_state_level,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_chip_at_application,total_medicaid_and_chip_determinations,medicaid_and_chip_child_enrollment,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,total_adult_medicaid_enrollment,total_medicaid_and_chip_determinations_processed_in_less_than_24_hours,total_medicaid_and_chip_determinations_processed_between_24_hours_and_7_days,total_medicaid_and_chip_determinations_processed_between_8_days_and_30_days,total_medicaid_and_chip_determinations_processed_between_31_days_and_45_days,total_medicaid_and_chip_determinations_processed_in_more_than_45_days,total_call_center_volume_number_of_calls,average_call_center_wait_time_minutes,average_call_center_abandonment_rate
AK,Alaska,201901,2019-01-01,2019,Y,U,Y,3032.0,0.0,3032.0,3156.0,158.0,3314.0,95796.0,216175.0,201038.0,15137.0,,,,,,,,,
AK,Alaska,201902,2019-02-01,2019,Y,U,Y,3865.0,0.0,3865.0,3084.0,173.0,3257.0,96172.0,217468.0,202090.0,15378.0,,492.0,833.0,699.0,281.0,3613.0,,,
AK,Alaska,201903,2019-03-01,2019,Y,U,Y,3588.0,0.0,3588.0,3363.0,271.0,3634.0,96256.0,217793.0,202397.0,15396.0,,586.0,835.0,878.0,332.0,5572.0,,,
AK,Alaska,201904,2019-04-01,2019,Y,U,Y,3368.0,0.0,3368.0,3053.0,202.0,3255.0,96593.0,218972.0,203524.0,15448.0,,535.0,818.0,1064.0,343.0,3829.0,,,
AK,Alaska,201905,2019-05-01,2019,Y,U,Y,3107.0,0.0,3107.0,2675.0,113.0,2788.0,97003.0,220384.0,204803.0,15581.0,,,,,,,,,
AK,Alaska,201906,2019-06-01,2019,Y,U,Y,3108.0,0.0,3108.0,2400.0,99.0,2499.0,97672.0,221746.0,206033.0,15713.0,,,,,,,,,
AK,Alaska,201907,2019-07-01,2019,Y,U,Y,3147.0,0.0,3147.0,2693.0,157.0,2850.0,97913.0,223117.0,207174.0,15943.0,,,,,,,,,
AK,Alaska,201908,2019-08-01,2019,Y,U,Y,3183.0,0.0,3183.0,2820.0,134.0,2954.0,97472.0,221946.0,206020.0,15926.0,,,,,,,,,
AK,Alaska,201909,2019-09-01,2019,Y,U,Y,2955.0,0.0,2955.0,2197.0,131.0,2328.0,97402.0,221587.0,205472.0,16115.0,,,,,,,,,
AK,Alaska,201910,2019-10-01,2019,Y,U,Y,3274.0,0.0,3274.0,2314.0,137.0,2451.0,97434.0,221675.0,205320.0,16355.0,,,,,,,,,
AK,Alaska,201911,2019-11-01,2019,Y,U,Y,2936.0,0.0,2936.0,2601.0,190.0,2791.0,97737.0,222498.0,205909.0,16589.0,,,,,,,,,
AK,Alaska,201912,2019-12-01,2019,Y,U,Y,3283.0,0.0,3283.0,2925.0,175.0,3100.0,97820.0,223065.0,206423.0,16642.0,,,,,,,,,
AK,Alaska,202001,2020-01-01,2020,Y,U,Y,4321.0,0.0,4321.0,3232.0,125.0,3357.0,98096.0,223963.0,207251.0,16712.0,,,,,,,,,
AK,Alaska,202002,2020-02-01,2020,Y,U,Y,3811.0,0.0,3811.0,3211.0,114.0,3325.0,97379.0,222941.0,206251.0,16690.0,,498.0,649.0,1395.0,173.0,975.0,,,
AK,Alaska,202003,2020-03-01,2020,Y,U,Y,3852.0,0.0,3852.0,3309.0,137.0,3446.0,98254.0,224965.0,208129.0,16836.0,,401.0,810.0,1231.0,570.0,1358.0,,,
AK,Alaska,202004,2020-04-01,2020,Y,U,Y,3041.0,0.0,3041.0,3439.0,184.0,3623.0,99035.0,228270.0,212183.0,16087.0,,297.0,2100.0,738.0,486.0,2049.0,,,
AK,Alaska,202005,2020-05-01,2020,Y,U,Y,2497.0,0.0,2497.0,3407.0,213.0,3620.0,98912.0,230043.0,214692.0,15351.0,,,,,,,,,
AK,Alaska,202006,2020-06-01,2020,Y,U,Y,2844.0,0.0,2844.0,3238.0,231.0,3469.0,98792.0,232069.0,217484.0,14585.0,,,,,,,,,
AK,Alaska,202007,2020-07-01,2020,Y,U,Y,2402.0,0.0,2402.0,2081.0,127.0,2208.0,98580.0,233334.0,219239.0,14095.0,,,,,,,,,
AK,Alaska,202008,2020-08-01,2020,Y,U,Y,2737.0,0.0,2737.0,1950.0,93.0,2043.0,98804.0,235261.0,221414.0,13847.0,,,,,,,,,
AK,Alaska,202009,2020-09-01,2020,Y,U,Y,2657.0,0.0,2657.0,1944.0,95.0,2039.0,99035.0,236362.0,222686.0,13676.0,,,,,,,,,
AK,Alaska,202010,2020-10-01,2020,Y,U,Y,2849.0,0.0,2849.0,2001.0,79.0,2080.0,99443.0,237786.0,224338.0,13448.0,,,,,,,,,
AK,Alaska,202011,2020-11-01,2020,Y,U,Y,3756.0,0.0,3756.0,1976.0,120.0,2096.0,99655.0,238873.0,225513.0,13360.0,,,,,,,,,
AK,Alaska,202012,2020-12-01,2020,Y,U,Y,2620.0,0.0,2620.0,2096.0,106.0,2202.0,99940.0,239981.0,226591.0,13390.0,,,,,,,,,
AK,Alaska,202101,2021-01-01,2021,Y,U,Y,2574.0,0.0,2574.0,1543.0,71.0,1614.0,100171.0,241410.0,228118.0,13292.0,,,,,,,,,
