state_abbreviation,state_name,reporting_month,reporting_year,preliminary_or_updated,final_report,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment,new_applications_submitted_to_medicaid_and_chip_agencies,total_applications_for_financial_assistance_submitted_at_state_level,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_chip_at_application,total_medicaid_and_chip_determinations
AK,Alaska,2025-03-01,2025,U,Y,243077.0,228508.0,14569.0,96384.0,146693.0,2158.0,2158.0,1969.0,114.0,2083.0
AK,Alaska,2025-04-01,2025,U,Y,238271.0,224131.0,14140.0,94885.0,143386.0,2742.0,2742.0,2101.0,128.0,2229.0
AK,Alaska,2025-05-01,2025,U,Y,225031.0,211333.0,13698.0,86706.0,138325.0,2551.0,2551.0,1588.0,91.0,1679.0
AK,Alaska,2025-06-01,2025,U,Y,224980.0,211659.0,13321.0,90017.0,134963.0,2454.0,2454.0,1431.0,107.0,1538.0
AK,Alaska,2025-07-01,2025,U,Y,220373.0,207221.0,13152.0,88348.0,132025.0,2658.0,2658.0,1655.0,69.0,1724.0
AK,Alaska,2025-08-01,2025,U,Y,218824.0,205768.0,13056.0,87906.0,130918.0,2652.0,2652.0,1477.0,80.0,1557.0
AK,Alaska,2025-09-01,2025,U,Y,215641.0,202632.0,13009.0,86718.0,128923.0,2494.0,2494.0,1425.0,75.0,1500.0
AK,Alaska,2025-10-01,2025,U,Y,214818.0,201848.0,12970.0,86524.0,128294.0,2442.0,2442.0,1659.0,146.0,1805.0
AK,Alaska,2025-11-01,2025,U,Y,212388.0,199460.0,12928.0,85710.0,126678.0,2255.0,2255.0,1804.0,159.0,1963.0
AK,Alaska,2025-12-01,2025,U,Y,212089.0,199113.0,12976.0,85599.0,126490.0,2396.0,2396.0,2172.0,196.0,2368.0
AK,Alaska,2026-01-01,2026,U,Y,211899.0,198930.0,12969.0,85484.0,126415.0,2246.0,2246.0,1731.0,140.0,1871.0
AK,Alaska,2026-02-01,2026,P,N,210442.0,197587.0,12855.0,85172.0,125270.0,2601.0,2601.0,2064.0,94.0,2158.0
AL,Alabama,2025-03-01,2025,U,Y,953505.0,767428.0,186077.0,679521.0,273984.0,13467.0,13467.0,12130.0,5399.0,17529.0
AL,Alabama,2025-04-01,2025,U,Y,961550.0,775147.0,186403.0,684013.0,277537.0,13359.0,13359.0,12380.0,5315.0,17695.0
AL,Alabama,2025-05-01,2025,U,Y,947601.0,761378.0,186223.0,674850.0,272751.0,13272.0,13272.0,12211.0,5896.0,18107.0
AL,Alabama,2025-06-01,2025,U,Y,946316.0,759359.0,186957.0,674469.0,271847.0,12541.0,12541.0,11368.0,5473.0,16841.0
AL,Alabama,2025-07-01,2025,U,Y,948369.0,760049.0,188320.0,675764.0,272605.0,13903.0,13903.0,12754.0,6048.0,18802.0
AL,Alabama,2025-08-01,2025,U,Y,947380.0,758080.0,189300.0,675575.0,271805.0,12936.0,12936.0,12499.0,6294.0,18793.0
AL,Alabama,2025-09-01,2025,U,Y,947718.0,756883.0,190835.0,676222.0,271496.0,12979.0,12979.0,11790.0,5554.0,17344.0
AL,Alabama,2025-10-01,2025,U,Y,947046.0,754925.0,192121.0,676185.0,270861.0,12899.0,12899.0,10770.0,5607.0,16377.0
AL,Alabama,2025-11-01,2025,U,Y,945436.0,752535.0,192901.0,675260.0,270176.0,11121.0,11121.0,8671.0,2019.0,10690.0
AL,Alabama,2025-12-01,2025,U,Y,945191.0,750744.0,194447.0,675229.0,269962.0,12523.0,12523.0,9805.0,2246.0,12051.0
AL,Alabama,2026-01-01,2026,U,Y,945804.0,749355.0,196449.0,675979.0,269825.0,15487.0,15487.0,12012.0,2880.0,14892.0
AL,Alabama,2026-02-01,2026,P,N,936918.0,740700.0,196218.0,671282.0,265636.0,12337.0,12337.0,9805.0,2419.0,12224.0
AR,Arkansas,2025-03-01,2025,U,Y,828054.0,744815.0,83239.0,410657.0,417397.0,19585.0,19585.0,12130.0,1054.0,13184.0
AR,Arkansas,2025-04-01,2025,U,Y,825857.0,746164.0,79693.0,411210.0,414647.0,22964.0,22964.0,14157.0,1378.0,15535.0
AR,Arkansas,2025-05-01,2025,U,Y,821900.0,741988.0,79912.0,411926.0,409974.0,19653.0,19653.0,13131.0,1343.0,14474.0
AR,Arkansas,2025-06-01,2025,U,Y,821198.0,741050.0,80148.0,412907.0,408291.0,19188.0,19188.0,13145.0,1148.0,14293.0
AR,Arkansas,2025-07-01,2025,U,Y,818956.0,738379.0,80577.0,413947.0,405009.0,21187.0,21187.0,13234.0,1242.0,14476.0
AR,Arkansas,2025-08-01,2025,U,Y,815146.0,733824.0,81322.0,415287.0,399859.0,20698.0,20698.0,13216.0,1255.0,14471.0
AR,Arkansas,2025-09-01,2025,U,Y,814767.0,732961.0,81806.0,416469.0,398298.0,20847.0,20847.0,12887.0,1220.0,14107.0
AR,Arkansas,2025-10-01,2025,U,Y,811928.0,729524.0,82404.0,416668.0,395260.0,19985.0,19985.0,13332.0,1291.0,14623.0
AR,Arkansas,2025-11-01,2025,U,Y,806626.0,723536.0,83090.0,416446.0,390180.0,16334.0,16334.0,11456.0,1140.0,12596.0
AR,Arkansas,2025-12-01,2025,U,Y,807724.0,723941.0,83783.0,417056.0,390668.0,21832.0,21832.0,13890.0,1460.0,15350.0
AR,Arkansas,2026-01-01,2026,U,Y,805275.0,721277.0,83998.0,400465.0,404810.0,22631.0,22631.0,16180.0,1227.0,17407.0
AR,Arkansas,2026-02-01,2026,P,N,798482.0,715111.0,83371.0,399359.0,399123.0,22803.0,22803.0,13327.0,980.0,14307.0
AZ,Arizona,2025-03-01,2025,U,Y,1849039.0,1731858.0,117181.0,796057.0,1052982.0,32782.0,32782.0,35045.0,3430.0,38475.0
AZ,Arizona,2025-04-01,2025,U,Y,1830028.0,1713183.0,116845.0,792152.0,1037876.0,33703.0,33703.0,38496.0,3696.0,42192.0
