state_abbreviation,state_name,reporting_month,reporting_year,preliminary_or_updated,final_report,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment,new_applications_submitted_to_medicaid_and_chip_agencies,total_applications_for_financial_assistance_submitted_at_state_level,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_chip_at_application,total_medicaid_and_chip_determinations
AK,Alaska,2019-01-01,2019,U,Y,216175.0,201038.0,15137.0,95796.0,,3032.0,3032.0,3156.0,158.0,3314.0
AK,Alaska,2019-02-01,2019,U,Y,217468.0,202090.0,15378.0,96172.0,,3865.0,3865.0,3084.0,173.0,3257.0
AK,Alaska,2019-03-01,2019,U,Y,217793.0,202397.0,15396.0,96256.0,,3588.0,3588.0,3363.0,271.0,3634.0
AK,Alaska,2019-04-01,2019,U,Y,218972.0,203524.0,15448.0,96593.0,,3368.0,3368.0,3053.0,202.0,3255.0
AK,Alaska,2019-05-01,2019,U,Y,220384.0,204803.0,15581.0,97003.0,,3107.0,3107.0,2675.0,113.0,2788.0
AK,Alaska,2019-06-01,2019,U,Y,221746.0,206033.0,15713.0,97672.0,,3108.0,3108.0,2400.0,99.0,2499.0
AK,Alaska,2019-07-01,2019,U,Y,223117.0,207174.0,15943.0,97913.0,,3147.0,3147.0,2693.0,157.0,2850.0
AK,Alaska,2019-08-01,2019,U,Y,221946.0,206020.0,15926.0,97472.0,,3183.0,3183.0,2820.0,134.0,2954.0
AK,Alaska,2019-09-01,2019,U,Y,221587.0,205472.0,16115.0,97402.0,,2955.0,2955.0,2197.0,131.0,2328.0
AK,Alaska,2019-10-01,2019,U,Y,221675.0,205320.0,16355.0,97434.0,,3274.0,3274.0,2314.0,137.0,2451.0
AK,Alaska,2019-11-01,2019,U,Y,222498.0,205909.0,16589.0,97737.0,,2936.0,2936.0,2601.0,190.0,2791.0
AK,Alaska,2019-12-01,2019,U,Y,223065.0,206423.0,16642.0,97820.0,,3283.0,3283.0,2925.0,175.0,3100.0
AK,Alaska,2020-01-01,2020,U,Y,223963.0,207251.0,16712.0,98096.0,,4321.0,4321.0,3232.0,125.0,3357.0
AK,Alaska,2020-02-01,2020,U,Y,222941.0,206251.0,16690.0,97379.0,,3811.0,3811.0,3211.0,114.0,3325.0
AK,Alaska,2020-03-01,2020,U,Y,224965.0,208129.0,16836.0,98254.0,,3852.0,3852.0,3309.0,137.0,3446.0
AK,Alaska,2020-04-01,2020,U,Y,228270.0,212183.0,16087.0,99035.0,,3041.0,3041.0,3439.0,184.0,3623.0
AK,Alaska,2020-05-01,2020,U,Y,230043.0,214692.0,15351.0,98912.0,,2497.0,2497.0,3407.0,213.0,3620.0
AK,Alaska,2020-06-01,2020,U,Y,232069.0,217484.0,14585.0,98792.0,,2844.0,2844.0,3238.0,231.0,3469.0
AK,Alaska,2020-07-01,2020,U,Y,233334.0,219239.0,14095.0,98580.0,,2402.0,2402.0,2081.0,127.0,2208.0
AK,Alaska,2020-08-01,2020,U,Y,235261.0,221414.0,13847.0,98804.0,,2737.0,2737.0,1950.0,93.0,2043.0
AK,Alaska,2020-09-01,2020,U,Y,236362.0,222686.0,13676.0,99035.0,,2657.0,2657.0,1944.0,95.0,2039.0
AK,Alaska,2020-10-01,2020,U,Y,237786.0,224338.0,13448.0,99443.0,,2849.0,2849.0,2001.0,79.0,2080.0
AK,Alaska,2020-11-01,2020,U,Y,238873.0,225513.0,13360.0,99655.0,,3756.0,3756.0,1976.0,120.0,2096.0
AK,Alaska,2020-12-01,2020,U,Y,239981.0,226591.0,13390.0,99940.0,,2620.0,2620.0,2096.0,106.0,2202.0
