state_abbreviation,state_name,population_year,state_population,source_name,source_url,date_accessed,population_notes
AK,Alaska,2020,733017,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AK,Alaska,2021,734420,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AK,Alaska,2022,734442,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AK,Alaska,2023,736510,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AK,Alaska,2024,740133,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AL,Alabama,2020,5033094,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AL,Alabama,2021,5049196,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AL,Alabama,2022,5076181,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AL,Alabama,2023,5117673,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
AL,Alabama,2024,5157699,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator."
