state_abbreviation,state_name,reporting_month,applications_submitted,total_medicaid_chip_determinations,application_determination_balance,state_population,population_year,application_determination_balance_per_100000_residents,determinations_per_application,applications_per_1000_enrollees,determinations_per_1000_enrollees,latest_month_preliminary_status
AK,Alaska,2019-01-01,3032.000000,3314.000000,-282.000000,733017,2020,-38.471141,1.093008,14.025674,15.330172,Final/updated
AK,Alaska,2019-02-01,3865.000000,3257.000000,608.000000,733017,2020,82.944870,0.842691,17.772730,14.976916,Final/updated
AK,Alaska,2019-03-01,3588.000000,3634.000000,-46.000000,733017,2020,-6.275434,1.012821,16.474359,16.685568,Final/updated
AK,Alaska,2019-04-01,3368.000000,3255.000000,113.000000,733017,2020,15.415741,0.966449,15.380962,14.864914,Final/updated
AK,Alaska,2019-05-01,3107.000000,2788.000000,319.000000,733017,2020,43.518772,0.897329,14.098120,12.650646,Final/updated
AK,Alaska,2019-06-01,3108.000000,2499.000000,609.000000,733017,2020,83.081293,0.804054,14.016036,11.269651,Final/updated
AK,Alaska,2019-07-01,3147.000000,2850.000000,297.000000,733017,2020,40.517478,0.905624,14.104707,12.773567,Final/updated
AK,Alaska,2019-08-01,3183.000000,2954.000000,229.000000,733017,2020,31.240749,0.928055,14.341326,13.309544,Final/updated
AK,Alaska,2019-09-01,2955.000000,2328.000000,627.000000,733017,2020,85.536898,0.787817,13.335620,10.506031,Final/updated
AK,Alaska,2019-10-01,3274.000000,2451.000000,823.000000,733017,2020,112.275704,0.748626,14.769370,11.056727,Final/updated
AK,Alaska,2019-11-01,2936.000000,2791.000000,145.000000,733017,2020,19.781260,0.950613,13.195624,12.543933,Final/updated
AK,Alaska,2019-12-01,3283.000000,3100.000000,183.000000,733017,2020,24.965315,0.944258,14.717683,13.897295,Final/updated
AK,Alaska,2020-01-01,4321.000000,3357.000000,964.000000,733017,2020,131.511275,0.776903,19.293365,14.989083,Final/updated
AK,Alaska,2020-02-01,3811.000000,3325.000000,486.000000,733017,2020,66.301327,0.872474,17.094209,14.914260,Final/updated
AK,Alaska,2020-03-01,3852.000000,3446.000000,406.000000,733017,2020,55.387529,0.894600,17.122664,15.317938,Final/updated
AK,Alaska,2020-04-01,3041.000000,3623.000000,-582.000000,733017,2020,-79.397886,1.191384,13.321943,15.871556,Final/updated
AK,Alaska,2020-05-01,2497.000000,3620.000000,-1123.000000,733017,2020,-153.202450,1.449740,10.854492,15.736188,Final/updated
AK,Alaska,2020-06-01,2844.000000,3469.000000,-625.000000,733017,2020,-85.264053,1.219761,12.254976,14.948140,Final/updated
AK,Alaska,2020-07-01,2402.000000,2208.000000,194.000000,733017,2020,26.465962,0.919234,10.294256,9.462830,Final/updated
AK,Alaska,2020-08-01,2737.000000,2043.000000,694.000000,733017,2020,94.677204,0.746438,11.633887,8.683972,Final/updated
AK,Alaska,2020-09-01,2657.000000,2039.000000,618.000000,733017,2020,84.309095,0.767407,11.241232,8.626598,Final/updated
AK,Alaska,2020-10-01,2849.000000,2080.000000,769.000000,733017,2020,104.908890,0.730081,11.981361,8.747361,Final/updated
AK,Alaska,2020-11-01,3756.000000,2096.000000,1660.000000,733017,2020,226.461324,0.558040,15.723837,8.774537,Final/updated
AK,Alaska,2020-12-01,2620.000000,2202.000000,418.000000,733017,2020,57.024598,0.840458,10.917531,9.175726,Final/updated
AK,Alaska,2021-01-01,2574.000000,1614.000000,960.000000,734420,2021,130.715394,0.627040,10.662359,6.685721,Final/updated
AK,Alaska,2021-02-01,2795.000000,1291.000000,1504.000000,734420,2021,204.787451,0.461896,11.502484,5.312954,Final/updated
AK,Alaska,2021-03-01,2987.000000,1610.000000,1377.000000,734420,2021,187.494894,0.539002,12.198807,6.575186,Final/updated
AK,Alaska,2021-04-01,2536.000000,1541.000000,995.000000,734420,2021,135.481060,0.607650,10.259730,6.234323,Final/updated
AK,Alaska,2021-05-01,2282.000000,1952.000000,330.000000,734420,2021,44.933417,0.855390,9.174275,7.847583,Final/updated
AK,Alaska,2021-06-01,0.000000,0.000000,0.000000,734420,2021,0.000000,,0.000000,0.000000,Final/updated
AK,Alaska,2021-07-01,2214.000000,1595.000000,619.000000,734420,2021,84.284197,0.720416,8.819874,6.353974,Final/updated
AK,Alaska,2021-08-01,2379.000000,1796.000000,583.000000,734420,2021,79.382370,0.754939,9.441338,7.127635,Final/updated
AK,Alaska,2021-09-01,2208.000000,1568.000000,640.000000,734420,2021,87.143596,0.710145,8.736389,6.204102,Final/updated
AK,Alaska,2021-10-01,2430.000000,1486.000000,944.000000,734420,2021,128.536805,0.611523,9.560568,5.846504,Final/updated
AK,Alaska,2021-11-01,2396.000000,1780.000000,616.000000,734420,2021,83.875711,0.742905,9.387611,6.974102,Final/updated
AK,Alaska,2021-12-01,2214.000000,1958.000000,256.000000,734420,2021,34.857439,0.884372,8.657027,7.656034,Final/updated
AK,Alaska,2022-01-01,2302.000000,1831.000000,471.000000,734442,2022,64.130319,0.795395,8.955979,7.123543,Final/updated
AK,Alaska,2022-02-01,1965.000000,1433.000000,532.000000,734442,2022,72.435945,0.729262,7.625412,5.560924,Final/updated
AK,Alaska,2022-03-01,2263.000000,1662.000000,601.000000,734442,2022,81.830832,0.734423,8.722062,6.405686,Final/updated
AK,Alaska,2022-04-01,1869.000000,1852.000000,17.000000,734442,2022,2.314682,0.990904,7.189263,7.123872,Final/updated
AK,Alaska,2022-05-01,2037.000000,1547.000000,490.000000,734442,2022,66.717317,0.759450,7.811541,5.932476,Final/updated
AK,Alaska,2022-06-01,2006.000000,1255.000000,751.000000,734442,2022,102.254501,0.625623,7.655583,4.789510,Final/updated
AK,Alaska,2022-07-01,1845.000000,1048.000000,797.000000,734442,2022,108.517759,0.568022,7.046934,4.002811,Final/updated
AK,Alaska,2022-08-01,1995.000000,1263.000000,732.000000,734442,2022,99.667503,0.633083,7.602404,4.812950,Final/updated
AK,Alaska,2022-09-01,1497.000000,1001.000000,496.000000,734442,2022,67.534264,0.668671,5.700164,3.811533,Final/updated
AK,Alaska,2022-10-01,1686.000000,1078.000000,608.000000,734442,2022,82.783937,0.639383,6.420754,4.105322,Final/updated
AK,Alaska,2022-11-01,1415.000000,1656.000000,-241.000000,734442,2022,-32.814028,1.170318,5.369428,6.283938,Final/updated
AK,Alaska,2022-12-01,1287.000000,1134.000000,153.000000,734442,2022,20.832142,0.881119,4.881361,4.301059,Final/updated
AK,Alaska,2023-01-01,1625.000000,1750.000000,-125.000000,736510,2023,-16.971935,1.076923,6.119882,6.590642,Final/updated
AK,Alaska,2023-02-01,1392.000000,0.000000,1392.000000,736510,2023,188.999470,0.000000,5.228896,0.000000,Final/updated
AK,Alaska,2023-03-01,2318.000000,2014.000000,304.000000,736510,2023,41.275746,0.868852,8.672618,7.535225,Final/updated
AK,Alaska,2023-04-01,2019.000000,1129.000000,890.000000,736510,2023,120.840179,0.559188,7.531643,4.211602,Final/updated
AK,Alaska,2023-05-01,2204.000000,1368.000000,836.000000,736510,2023,113.508303,0.620690,8.257249,5.125189,Final/updated
AK,Alaska,2023-06-01,2206.000000,1487.000000,719.000000,736510,2023,97.622571,0.674071,8.294730,5.591235,Final/updated
AK,Alaska,2023-07-01,2159.000000,1382.000000,777.000000,736510,2023,105.497549,0.640111,8.215185,5.258632,Final/updated
