state_abbreviation,state_name,latest_reporting_month,applications_submitted,total_medicaid_chip_determinations,application_determination_balance,application_determination_balance_per_100000_residents,determinations_per_application,data_quality_note
AK,Alaska,2026-02-01,2601.000000,2158.000000,443.000000,59.854107,0.829681,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
AL,Alabama,2026-02-01,12337.000000,12224.000000,113.000000,2.190899,0.990841,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
AR,Arkansas,2026-02-01,22803.000000,14307.000000,8496.000000,275.097997,0.627417,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
AZ,Arizona,2026-02-01,39704.000000,29994.000000,9710.000000,128.059987,0.755440,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
CA,California,2026-02-01,172960.000000,150977.000000,21983.000000,55.750180,0.872901,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
CO,Colorado,2026-02-01,21831.000000,17696.000000,4135.000000,69.408390,0.810590,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
CT,Connecticut,2026-02-01,17475.000000,9913.000000,7562.000000,205.764844,0.567268,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
DC,District of Columbia,2026-02-01,918.000000,0.000000,918.000000,130.722677,0.000000,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
DE,Delaware,2026-02-01,3924.000000,4206.000000,-282.000000,-26.808199,1.071865,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
FL,Florida,2026-02-01,239516.000000,143927.000000,95589.000000,408.985627,0.600908,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
GA,Georgia,2026-02-01,57044.000000,21715.000000,35329.000000,315.976974,0.380671,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
HI,Hawaii,2026-02-01,3409.000000,4192.000000,-783.000000,-54.143911,1.229686,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
IA,Iowa,2026-02-01,18300.000000,11371.000000,6929.000000,213.759853,0.621366,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
ID,Idaho,2026-02-01,7519.000000,7707.000000,-188.000000,-9.392397,1.025003,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
IL,Illinois,2026-02-01,133810.000000,38802.000000,95008.000000,747.496609,0.289978,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
IN,Indiana,2026-02-01,63533.000000,47656.000000,15877.000000,229.294764,0.750098,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
KS,Kansas,2026-02-01,13068.000000,713.000000,12355.000000,415.908404,0.054561,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
KY,Kentucky,2026-02-01,8139.000000,10292.000000,-2153.000000,-46.922961,1.264529,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
LA,Louisiana,2026-02-01,24333.000000,10222.000000,14111.000000,306.911657,0.420088,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MA,Massachusetts,2026-02-01,17640.000000,9616.000000,8024.000000,112.441252,0.545125,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MD,Maryland,2026-02-01,134590.000000,94342.000000,40248.000000,642.608754,0.700958,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
ME,Maine,2026-02-01,6576.000000,7204.000000,-628.000000,-44.697127,1.095499,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MI,Michigan,2026-02-01,47799.000000,34362.000000,13437.000000,132.508795,0.718885,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MN,Minnesota,2026-02-01,19679.000000,8585.000000,11094.000000,191.502000,0.436252,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MO,Missouri,2026-02-01,25019.000000,25068.000000,-49.000000,-0.784569,1.001959,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MS,Mississippi,2026-02-01,16047.000000,8541.000000,7506.000000,255.041972,0.532249,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
MT,Montana,2026-02-01,4019.000000,3274.000000,745.000000,65.509882,0.814631,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NC,North Carolina,2026-02-01,30062.000000,44892.000000,-14830.000000,-134.256453,1.493314,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
ND,North Dakota,2026-02-01,2535.000000,2417.000000,118.000000,14.813550,0.953452,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NE,Nebraska,2026-02-01,8741.000000,7312.000000,1429.000000,71.255295,0.836518,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NH,New Hampshire,2026-02-01,5132.000000,3662.000000,1470.000000,104.326942,0.713562,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NJ,New Jersey,2026-02-01,30014.000000,25648.000000,4366.000000,45.953778,0.854535,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NM,New Mexico,2026-02-01,12375.000000,12724.000000,-349.000000,-16.383007,1.028202,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NV,Nevada,2026-02-01,16077.000000,8617.000000,7460.000000,228.311411,0.535983,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
NY,New York,2026-02-01,588083.000000,116976.000000,471107.000000,2371.274572,0.198911,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
OH,Ohio,2026-02-01,68183.000000,35274.000000,32909.000000,276.934765,0.517343,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
OK,Oklahoma,2026-02-01,43746.000000,75856.000000,-32110.000000,-784.051738,1.734010,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
OR,Oregon,2026-02-01,14152.000000,223528.000000,-209376.000000,-4900.697996,15.794799,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
PA,Pennsylvania,2026-02-01,101139.000000,85575.000000,15564.000000,119.002189,0.846113,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
RI,Rhode Island,2026-02-01,1441.000000,1994.000000,-553.000000,-49.716445,1.383761,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
SC,South Carolina,2026-02-01,15422.000000,3526.000000,11896.000000,217.126610,0.228634,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
SD,South Dakota,2026-02-01,4303.000000,18238.000000,-13935.000000,-1507.025757,4.238438,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
TN,Tennessee,2026-02-01,30669.000000,11812.000000,18857.000000,260.897236,0.385145,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
TX,Texas,2026-02-01,98889.000000,59289.000000,39600.000000,126.554645,0.599551,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
UT,Utah,2026-02-01,24547.000000,38624.000000,-14077.000000,-401.785243,1.573471,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
VA,Virginia,2026-02-01,35271.000000,29062.000000,6209.000000,70.467173,0.823963,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
VT,Vermont,2026-02-01,4807.000000,2672.000000,2135.000000,329.224834,0.555856,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
WA,Washington,2026-02-01,148517.000000,38806.000000,109711.000000,1378.594101,0.261290,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
WI,Wisconsin,2026-02-01,22173.000000,16569.000000,5604.000000,94.011466,0.747260,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
WV,West Virginia,2026-02-01,18567.000000,7692.000000,10875.000000,614.414069,0.414283,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
WY,Wyoming,2026-02-01,1366.000000,2063.000000,-697.000000,-118.614474,1.510249,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.
