field_name,missing_count,missing_percent,zero_count,zero_percent,use_caution
total_adult_medicaid_enrollment,3366,76.74,1,0.02,True
average_call_center_abandonment_rate,2590,59.05,2,0.05,True
total_call_center_volume_number_of_calls,2590,59.05,0,0.0,True
average_call_center_wait_time_minutes,2589,59.03,209,4.77,True
total_medicaid_and_chip_determinations_processed_in_more_than_45_days,1377,31.4,289,6.59,True
total_medicaid_and_chip_determinations_processed_between_31_days_and_45_days,1377,31.4,186,4.24,True
total_medicaid_and_chip_determinations_processed_between_24_hours_and_7_days,1377,31.4,69,1.57,True
total_medicaid_and_chip_determinations_processed_between_8_days_and_30_days,1377,31.4,69,1.57,True
total_medicaid_and_chip_determinations_processed_in_less_than_24_hours,1377,31.4,47,1.07,True
applications_for_financial_assistance_submitted_to_the_state_based_marketplace,0,0.0,3326,75.83,False
individuals_determined_eligible_for_chip_at_application,0,0.0,386,8.8,False
individuals_determined_eligible_for_medicaid_at_application,0,0.0,193,4.4,False
total_medicaid_and_chip_determinations,0,0.0,192,4.38,False
new_applications_submitted_to_medicaid_and_chip_agencies,0,0.0,144,3.28,False
medicaid_and_chip_child_enrollment,0,0.0,70,1.6,False
total_applications_for_financial_assistance_submitted_at_state_level,0,0.0,58,1.32,False
total_medicaid_and_chip_enrollment,0,0.0,1,0.02,False
total_medicaid_enrollment,0,0.0,1,0.02,False
total_chip_enrollment,0,0.0,1,0.02,False
state_abbreviation,0,0.0,0,0.0,False
state_name,0,0.0,0,0.0,False
reporting_period,0,0.0,0,0.0,False
reporting_month,0,0.0,0,0.0,False
reporting_year,0,0.0,0,0.0,False
state_expanded_medicaid,0,0.0,0,0.0,False
preliminary_or_updated,0,0.0,0,0.0,False
final_report,0,0.0,0,0.0,False
