state_abbreviation,state_name,peak_enrollment_month,peak_total_medicaid_chip_enrollment,latest_reporting_month,latest_total_medicaid_chip_enrollment,change_from_peak,percent_change_from_peak
AK,Alaska,2023-04-01,268069.000000,2026-02-01,210442.000000,-57627.000000,-21.497077
AL,Alabama,2023-06-01,1204334.000000,2026-02-01,936918.000000,-267416.000000,-22.204472
AR,Arkansas,2023-03-01,1087844.000000,2026-02-01,798482.000000,-289362.000000,-26.599586
AZ,Arizona,2023-03-01,2332111.000000,2026-02-01,1639141.000000,-692970.000000,-29.714280
CA,California,2023-06-01,14462560.000000,2026-02-01,12447923.000000,-2014637.000000,-13.930017
CO,Colorado,2023-05-01,1728610.000000,2026-02-01,1183855.000000,-544755.000000,-31.514049
CT,Connecticut,2023-04-01,1021298.000000,2026-02-01,903159.000000,-118139.000000,-11.567535
DC,District of Columbia,2023-05-01,297395.000000,2026-02-01,239206.000000,-58189.000000,-19.566233
DE,Delaware,2023-07-01,310479.000000,2026-02-01,238342.000000,-72137.000000,-23.234100
FL,Florida,2023-04-01,5118562.000000,2026-02-01,3580247.000000,-1538315.000000,-30.053656
GA,Georgia,2023-05-01,2552798.000000,2026-02-01,1841369.000000,-711429.000000,-27.868598
HI,Hawaii,2023-12-01,469301.000000,2026-02-01,387233.000000,-82068.000000,-17.487284
IA,Iowa,2023-04-01,866496.000000,2026-02-01,670025.000000,-196471.000000,-22.674196
ID,Idaho,2023-03-01,460085.000000,2026-02-01,311066.000000,-149019.000000,-32.389450
IL,Illinois,2023-07-01,3872945.000000,2026-02-01,2988258.000000,-884687.000000,-22.842746
IN,Indiana,2023-04-01,2059657.000000,2026-02-01,1438283.000000,-621374.000000,-30.168810
KS,Kansas,2023-01-01,513068.000000,2026-02-01,396574.000000,-116494.000000,-22.705372
KY,Kentucky,2023-05-01,1646014.000000,2026-02-01,1305256.000000,-340758.000000,-20.702011
LA,Louisiana,2023-05-01,1927554.000000,2026-02-01,1367435.000000,-560119.000000,-29.058537
MA,Massachusetts,2023-05-01,2034643.000000,2026-02-01,1567203.000000,-467440.000000,-22.974055
MD,Maryland,2023-05-01,1720320.000000,2026-02-01,1388290.000000,-332030.000000,-19.300479
ME,Maine,2023-06-01,380730.000000,2026-02-01,334056.000000,-46674.000000,-12.259081
MI,Michigan,2023-07-01,3127754.000000,2026-02-01,2194454.000000,-933300.000000,-29.839303
MN,Minnesota,2023-06-01,1419620.000000,2026-02-01,1135076.000000,-284544.000000,-20.043674
MO,Missouri,2023-06-01,1522455.000000,2026-02-01,1242164.000000,-280291.000000,-18.410462
MS,Mississippi,2023-06-01,796813.000000,2026-02-01,587137.000000,-209676.000000,-26.314330
MT,Montana,2023-04-01,330590.000000,2026-02-01,208151.000000,-122439.000000,-37.036510
NC,North Carolina,2025-07-01,2887045.000000,2026-02-01,2849341.000000,-37704.000000,-1.305972
ND,North Dakota,2023-05-01,136252.000000,2026-02-01,103737.000000,-32515.000000,-23.863870
NE,Nebraska,2023-05-01,400076.000000,2026-02-01,333666.000000,-66410.000000,-16.599346
NH,New Hampshire,2023-03-01,253166.000000,2026-02-01,172022.000000,-81144.000000,-32.051697
NJ,New Jersey,2023-07-01,2272885.000000,2026-02-01,1739068.000000,-533817.000000,-23.486318
NM,New Mexico,2023-03-01,890778.000000,2026-02-01,680107.000000,-210671.000000,-23.650225
NV,Nevada,2023-05-01,904469.000000,2026-02-01,727300.000000,-177169.000000,-19.588178
NY,New York,2023-06-01,7634352.000000,2026-02-01,6423072.000000,-1211280.000000,-15.866180
OH,Ohio,2023-04-01,3446663.000000,2026-02-01,2681863.000000,-764800.000000,-22.189579
OK,Oklahoma,2023-04-01,1336866.000000,2026-02-01,968741.000000,-368125.000000,-27.536417
OR,Oregon,2023-09-01,1467556.000000,2026-02-01,1288913.000000,-178643.000000,-12.172823
PA,Pennsylvania,2023-04-01,3741046.000000,2026-02-01,2994399.000000,-746647.000000,-19.958242
RI,Rhode Island,2023-05-01,373989.000000,2026-02-01,286204.000000,-87785.000000,-23.472616
SC,South Carolina,2023-05-01,1334277.000000,2026-02-01,967113.000000,-367164.000000,-27.517824
SD,South Dakota,2023-03-01,146957.000000,2026-02-01,137536.000000,-9421.000000,-6.410719
TN,Tennessee,2023-05-01,1814686.000000,2026-02-01,1401142.000000,-413544.000000,-22.788736
TX,Texas,2023-05-01,5976306.000000,2026-02-01,3997752.000000,-1978554.000000,-33.106638
UT,Utah,2023-04-01,488964.000000,2026-02-01,326311.000000,-162653.000000,-33.264821
VA,Virginia,2023-05-01,2051719.000000,2026-02-01,1660787.000000,-390932.000000,-19.053876
VT,Vermont,2023-05-01,194794.000000,2026-02-01,149308.000000,-45486.000000,-23.350822
WA,Washington,2023-05-01,2197395.000000,2026-02-01,1784702.000000,-412693.000000,-18.781011
WI,Wisconsin,2023-06-01,1457504.000000,2026-02-01,1118742.000000,-338762.000000,-23.242612
WV,West Virginia,2023-04-01,662638.000000,2026-02-01,487229.000000,-175409.000000,-26.471316
WY,Wyoming,2023-07-01,85818.000000,2026-02-01,58942.000000,-26876.000000,-31.317439
