state_abbreviation,state_name,reporting_month,flag_type,flag_description,metric_name,metric_value,comparison_value,interpretation_note
AK,Alaska,2020-01-01,large_applications_spike,Applications submitted are above this state's recent monthly pattern.,total_applications_for_financial_assistance_submitted_at_state_level,4321.000000,3237.166667,"Review flag only; applications are descriptive operational indicators, not performance scores."
AK,Alaska,2023-08-01,large_applications_spike,Applications submitted are above this state's recent monthly pattern.,total_applications_for_financial_assistance_submitted_at_state_level,2718.000000,1816.916667,"Review flag only; applications are descriptive operational indicators, not performance scores."
AK,Alaska,2023-08-01,large_month_over_month_enrollment_change,Monthly enrollment change differs from this state's historical monthly pattern.,monthly_total_medicaid_chip_enrollment_change,-6263.000000,-67.447059,Review flag only; this does not identify a cause or indicate performance.
AK,Alaska,2023-09-01,large_applications_spike,Applications submitted are above this state's recent monthly pattern.,total_applications_for_financial_assistance_submitted_at_state_level,2840.000000,1877.166667,"Review flag only; applications are descriptive operational indicators, not performance scores."
AK,Alaska,2023-09-01,large_month_over_month_enrollment_change,Monthly enrollment change differs from this state's historical monthly pattern.,monthly_total_medicaid_chip_enrollment_change,-9726.000000,-67.447059,Review flag only; this does not identify a cause or indicate performance.
AK,Alaska,2023-12-01,large_determinations_spike,Eligibility determinations are above this state's recent monthly pattern.,total_medicaid_and_chip_determinations,5120.000000,1430.666667,"Review flag only; determinations are descriptive operational indicators, not performance scores."
AK,Alaska,2024-02-01,large_applications_spike,Applications submitted are above this state's recent monthly pattern.,total_applications_for_financial_assistance_submitted_at_state_level,3460.000000,2382.500000,"Review flag only; applications are descriptive operational indicators, not performance scores."
AK,Alaska,2024-03-01,large_applications_spike,Applications submitted are above this state's recent monthly pattern.,total_applications_for_financial_assistance_submitted_at_state_level,3531.000000,2554.833333,"Review flag only; applications are descriptive operational indicators, not performance scores."
AK,Alaska,2025-03-01,large_determinations_spike,Eligibility determinations are above this state's recent monthly pattern.,total_medicaid_and_chip_determinations,2083.000000,1500.666667,"Review flag only; determinations are descriptive operational indicators, not performance scores."
AK,Alaska,2025-04-01,large_determinations_spike,Eligibility determinations are above this state's recent monthly pattern.,total_medicaid_and_chip_determinations,2229.000000,1544.166667,"Review flag only; determinations are descriptive operational indicators, not performance scores."
AK,Alaska,2025-05-01,large_month_over_month_enrollment_change,Monthly enrollment change differs from this state's historical monthly pattern.,monthly_total_medicaid_chip_enrollment_change,-13240.000000,-67.447059,Review flag only; this does not identify a cause or indicate performance.
AK,Alaska,2025-12-01,large_determinations_spike,Eligibility determinations are above this state's recent monthly pattern.,total_medicaid_and_chip_determinations,2368.000000,1688.833333,"Review flag only; determinations are descriptive operational indicators, not performance scores."
AK,Alaska,2026-02-01,high_missingness_caution,State has elevated missingness across preserved dashboard fields.,missingness_percent,15.700000,10.000000,"Review flag only; missingness should guide caution, not state performance labeling."
AK,Alaska,2026-02-01,latest_month_preliminary_reporting_caution,Latest month is preliminary and may be revised in later source updates.,latest_month_preliminary_status,,,Review flag only; preliminary reporting affects interpretation of the latest month.
AL,Alabama,2021-05-01,large_determinations_spike,Eligibility determinations are above this state's recent monthly pattern.,total_medicaid_and_chip_determinations,12600.000000,10838.083333,"Review flag only; determinations are descriptive operational indicators, not performance scores."
AL,Alabama,2021-06-01,large_determinations_spike,Eligibility determinations are above this state's recent monthly pattern.,total_medicaid_and_chip_determinations,13557.000000,11003.500000,"Review flag only; determinations are descriptive operational indicators, not performance scores."
