reporting_month,applications_submitted,total_medicaid_chip_determinations,application_determination_balance,national_population_denominator,application_determination_balance_per_100000_residents,state_records
2019-01-01,2328343.000000,1680780.000000,647563.000000,331577720.000000,195.297501,51
2019-02-01,1846825.000000,1511135.000000,335690.000000,331577720.000000,101.240216,51
2019-03-01,1979946.000000,1560336.000000,419610.000000,331577720.000000,126.549516,51
2019-04-01,2014497.000000,1579924.000000,434573.000000,331577720.000000,131.062184,51
2019-05-01,1971811.000000,1577155.000000,394656.000000,331577720.000000,119.023679,51
2019-06-01,1874136.000000,1516376.000000,357760.000000,331577720.000000,107.896272,51
2019-07-01,2087358.000000,1622717.000000,464641.000000,331577720.000000,140.130344,51
2019-08-01,2113831.000000,1715881.000000,397950.000000,331577720.000000,120.017111,51
2019-09-01,1972774.000000,1581102.000000,391672.000000,331577720.000000,118.123739,51
2019-10-01,2121960.000000,1664873.000000,457087.000000,331577720.000000,137.852145,51
2019-11-01,2059507.000000,1530404.000000,529103.000000,331577720.000000,159.571337,51
2019-12-01,2139271.000000,1572427.000000,566844.000000,331577720.000000,170.953585,51
2020-01-01,2346509.000000,1739857.000000,606652.000000,331577720.000000,182.959217,51
2020-02-01,1908158.000000,1636245.000000,271913.000000,331577720.000000,82.005811,51
2020-03-01,2253647.000000,1728404.000000,525243.000000,331577720.000000,158.407205,51
2020-04-01,2575749.000000,2008583.000000,567166.000000,331577720.000000,171.050697,51
2020-05-01,1679260.000000,1485508.000000,193752.000000,331577720.000000,58.433359,51
2020-06-01,1680786.000000,1420819.000000,259967.000000,331577720.000000,78.403036,51
2020-07-01,1728493.000000,1228738.000000,499755.000000,331577720.000000,150.720320,51
2020-08-01,1736994.000000,1260845.000000,476149.000000,331577720.000000,143.601024,51
2020-09-01,1651707.000000,1281208.000000,370499.000000,331577720.000000,111.738207,51
2020-10-01,1713911.000000,1366491.000000,347420.000000,331577720.000000,104.777848,51
2020-11-01,1767259.000000,1282402.000000,484857.000000,331577720.000000,146.227256,51
2020-12-01,1875556.000000,1475714.000000,399842.000000,331577720.000000,120.587716,51
2021-01-01,1914136.000000,1365499.000000,548637.000000,332099760.000000,165.202468,51
2021-02-01,1667026.000000,1423466.000000,243560.000000,332099760.000000,73.339409,51
2021-03-01,1881695.000000,1313542.000000,568153.000000,332099760.000000,171.079016,51
2021-04-01,1784484.000000,1147582.000000,636902.000000,332099760.000000,191.780325,51
2021-05-01,1670016.000000,1083986.000000,586030.000000,332099760.000000,176.462037,51
2021-06-01,1821591.000000,1159165.000000,662426.000000,332099760.000000,199.465968,51
2021-07-01,1734250.000000,1116427.000000,617823.000000,332099760.000000,186.035365,51
2021-08-01,1875114.000000,1185121.000000,689993.000000,332099760.000000,207.766787,51
2021-09-01,1878704.000000,1122620.000000,756084.000000,332099760.000000,227.667735,51
