reporting_month,applications_submitted,medicaid_chip_agency_applications,total_medicaid_and_chip_determinations,medicaid_determinations,chip_determinations,total_medicaid_and_chip_enrollment,state_records,preliminary_records,determinations_per_application,applications_per_1000_enrollees,determinations_per_1000_enrollees
2019-01-01,2328343.0,1913288.0,1680780.0,1538175.0,142605.0,72165928.0,51,0,0.7218781768837323,32.26374363259071,23.290492432938713
2019-02-01,1846825.0,1550453.0,1511135.0,1383315.0,127820.0,72112536.0,51,0,0.8182339961826378,25.610318294727563,20.955233081804252
2019-03-01,1979946.0,1657064.0,1560336.0,1426392.0,133944.0,72099078.0,51,0,0.7880699776660576,27.461460741564547,21.641552753282088
2019-04-01,2014497.0,1701784.0,1579924.0,1454834.0,125090.0,71937696.0,51,0,0.7842771669553243,28.003357238463682,21.96239368022017
2019-05-01,1971811.0,1662289.0,1577155.0,1454100.0,123055.0,71824875.0,51,0,0.7998509999183492,27.45303768367157,21.958339642080826
2019-06-01,1874136.0,1581808.0,1516376.0,1401676.0,114700.0,71716979.0,51,0,0.8091067030354254,26.13238909575374,21.14389118370421
2019-07-01,2087358.0,1778757.0,1622717.0,1501781.0,120936.0,71772214.0,51,0,0.7774023430575876,29.083093354205293,22.609264916921752
2019-08-01,2113831.0,1803353.0,1715881.0,1583064.0,132817.0,71788028.0,51,0,0.8117399167672344,29.44545293819744,23.902049517225908
2019-09-01,1972774.0,1665338.0,1581102.0,1460274.0,120828.0,71746507.0,51,0,0.8014612925758349,27.49644662143622,22.037337650458717
2019-10-01,2121960.0,1790299.0,1664873.0,1533788.0,131085.0,71678022.0,51,0,0.7845920752511829,29.60405352703511,23.227105792623576
2019-11-01,2059507.0,1616817.0,1530404.0,1407188.0,123216.0,71427023.0,51,0,0.743092400268608,28.83372305744844,21.426120475439667
2019-12-01,2139271.0,1660100.0,1572427.0,1437349.0,135078.0,71368796.0,51,0,0.7350293628063018,29.974878657053427,22.032415959490194
2020-01-01,2346509.0,1969925.0,1739857.0,1591339.0,148518.0,71506422.0,51,0,0.7414661524843927,32.81536027631197,24.331478926466215
2020-02-01,1908158.0,1606918.0,1636245.0,1493794.0,142451.0,71416272.0,51,0,0.8574997458281757,26.71881276580777,22.91137515551078
2020-03-01,2253647.0,1907683.0,1728404.0,1577556.0,150848.0,71726736.0,51,0,0.7669364368066516,31.419901778327127,24.09706751468518
2020-04-01,2575749.0,2257719.0,2008583.0,1892005.0,116578.0,72912133.0,51,0,0.7798054080580057,35.32675419055427,27.547993966930033
2020-05-01,1679260.0,1427765.0,1485508.0,1392958.0,92550.0,74085140.0,51,0,0.8846206066958064,22.66662383306558,20.0513625269521
2020-06-01,1680786.0,1415666.0,1420819.0,1319219.0,101600.0,75075740.0,51,0,0.8453301015120307,22.387871235102047,18.925141463807083
2020-07-01,1728493.0,1466158.0,1228738.0,1144632.0,84106.0,76049430.0,51,0,0.7108724189221478,22.728546420400523,16.157096772454445
2020-08-01,1736994.0,1478532.0,1260845.0,1173352.0,87493.0,76978568.0,51,0,0.7258775793123062,22.564644226689172,16.379169329312543
2020-09-01,1651707.0,1404341.0,1281208.0,1192304.0,88904.0,77783634.0,51,0,0.7756872132890398,21.234634010542628,16.47143408085048
2020-10-01,1713911.0,1461159.0,1366491.0,1270138.0,96353.0,78541759.0,51,0,0.7972940251856718,21.821652861123216,17.39827344584936
2020-11-01,1767259.0,1403670.0,1282402.0,1187931.0,94471.0,79343998.0,51,0,0.7256446282067315,22.273379770956335,16.162558382802942
2020-12-01,1875556.0,1443573.0,1475714.0,1367969.0,107745.0,80198673.0,51,0,0.7868141500440403,23.386371991466742,18.400728401079654
2021-01-01,1914136.0,1425998.0,1365499.0,1268354.0,97145.0,80818925.0,51,0,0.7133761655389168,23.684254647039662,16.895782763752425
2021-02-01,1667026.0,1239401.0,1423466.0,1340690.0,82776.0,81314863.0,51,0,0.8538955001301719,20.50087694300118,17.505606570351105
