reporting_month,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,state_records,preliminary_records,monthly_change,percent_monthly_change,year_over_year_change,percent_year_over_year_change
2019-01-01,72165928.0,65373611.0,6792317.0,51,0,,,,
2019-02-01,72112536.0,65327598.0,6784938.0,51,0,-53392.0,-0.0739850528908903,,
2019-03-01,72099078.0,65295918.0,6803160.0,51,0,-13458.0,-0.01866249718356361,,
2019-04-01,71937696.0,65160778.0,6776918.0,51,0,-161382.0,-0.22383365290745694,,
2019-05-01,71824875.0,65067210.0,6757665.0,51,0,-112821.0,-0.15683154489685158,,
2019-06-01,71716979.0,64983781.0,6733198.0,51,0,-107896.0,-0.15022093668801695,,
2019-07-01,71772214.0,65033647.0,6738567.0,51,0,55235.0,0.07701802386295142,,
2019-08-01,71788028.0,65022133.0,6765895.0,51,0,15814.0,0.022033596455584004,,
2019-09-01,71746507.0,64969382.0,6777125.0,51,0,-41521.0,-0.05783833482652101,,
2019-10-01,71678022.0,64854417.0,6823605.0,51,0,-68485.0,-0.09545412433806799,,
2019-11-01,71427023.0,64593018.0,6834005.0,51,0,-250999.0,-0.3501756786759569,,
2019-12-01,71368796.0,64531813.0,6836983.0,51,0,-58227.0,-0.08151956718117637,,
2020-01-01,71506422.0,64584188.0,6922234.0,51,0,137626.0,0.19283777745109365,-659506.0,-0.9138744810431865
2020-02-01,71416272.0,64488806.0,6927466.0,51,0,-90150.0,-0.12607259247288116,-696264.0,-0.9655242189790636
2020-03-01,71726736.0,64764565.0,6962171.0,51,0,310464.0,0.43472445607353194,-372342.0,-0.5164310145547191
2020-04-01,72912133.0,65920907.0,6991226.0,51,0,1185397.0,1.6526571068283369,974437.0,1.354556865429779
2020-05-01,74085140.0,67126120.0,6959020.0,51,0,1173007.0,1.6087953427449397,2260265.0,3.1469111502108404
2020-06-01,75075740.0,68152501.0,6923239.0,51,0,990600.0,1.337110249099882,3358761.0,4.683355387850341
2020-07-01,76049430.0,69104554.0,6944876.0,51,0,973690.0,1.2969435932299822,4277216.0,5.9594315984177415
2020-08-01,76978568.0,70024420.0,6954148.0,51,0,929138.0,1.2217553767332578,5190540.0,7.230369944136084
2020-09-01,77783634.0,70827246.0,6956388.0,51,0,805066.0,1.0458313539945197,6037127.0,8.414523929367036
2020-10-01,78541759.0,71559002.0,6982757.0,51,0,758125.0,0.9746587566222376,6863737.0,9.575790191308563
2020-11-01,79343998.0,72321193.0,7022805.0,51,0,802239.0,1.021417154662907,7916975.0,11.084005279066433
2020-12-01,80198673.0,73164443.0,7034230.0,51,0,854675.0,1.0771766252565262,8829877.0,12.372181534350112
2021-01-01,80818925.0,73794603.0,7024322.0,51,0,620252.0,0.7733943428215984,9312503.0,13.02330999025514
2021-02-01,81314863.0,74278557.0,7036306.0,51,0,495938.0,0.6136409263053144,9898591.0,13.860414052416514
2021-03-01,81957134.0,74892168.0,7064966.0,51,0,642271.0,0.7898568309707477,10230398.0,14.26301902264171
2021-04-01,82488552.0,75410431.0,7078121.0,51,0,531418.0,0.6484096918274451,9576419.0,13.134191260047224
