state_abbreviation,state_name,baseline_enrollment,latest_enrollment,enrollment_12_months_prior,baseline_month,latest_month,change_since_baseline,percent_change_since_baseline,change_last_12_months,percent_change_last_12_months,rank_by_latest_enrollment,rank_by_change_since_baseline
CA,California,11914394.0,12447923.0,13498666.0,2019-01-01,2026-02-01,533529.0,4.478020451564721,-1050743.0,-7.784050661006058,1.0,2.0
NY,New York,6138988.0,6423072.0,6611694.0,2019-01-01,2026-02-01,284084.0,4.627537959025169,-188622.0,-2.852854351698672,2.0,6.0
TX,Texas,4297684.0,3997752.0,4198734.0,2019-01-01,2026-02-01,-299932.0,-6.978921670369437,-200982.0,-4.786728571040699,3.0,51.0
FL,Florida,3679990.0,3580247.0,3737528.0,2019-01-01,2026-02-01,-99743.0,-2.7104149739537333,-157281.0,-4.208155764986911,4.0,48.0
PA,Pennsylvania,3016820.0,2994399.0,3108474.0,2019-01-01,2026-02-01,-22421.0,-0.7431997931596847,-114075.0,-3.6698071143590067,5.0,39.0
IL,Illinois,2984833.0,2988258.0,3204871.0,2019-01-01,2026-02-01,3425.0,0.11474678817876914,-216613.0,-6.758867985638112,6.0,27.0
NC,North Carolina,1911664.0,2849341.0,2863257.0,2019-01-01,2026-02-01,937677.0,49.05030381908118,-13916.0,-0.48601994162591766,7.0,1.0
OH,Ohio,2650556.0,2681863.0,2818209.0,2019-01-01,2026-02-01,31307.0,1.181148408107582,-136346.0,-4.838037207318549,8.0,20.0
MI,Michigan,2335095.0,2194454.0,2402378.0,2019-01-01,2026-02-01,-140641.0,-6.022924120860179,-207924.0,-8.654924412394719,9.0,49.0
GA,Georgia,1838259.0,1841369.0,1948393.0,2019-01-01,2026-02-01,3110.0,0.16918181823127207,-107024.0,-5.492936999876308,10.0,28.0
WA,Washington,1745055.0,1784702.0,1830502.0,2019-01-01,2026-02-01,39647.0,2.271962774812255,-45800.0,-2.502045886866007,11.0,18.0
NJ,New Jersey,1730812.0,1739068.0,1802826.0,2019-01-01,2026-02-01,8256.0,0.4770015460951276,-63758.0,-3.5365587139302406,12.0,24.0
VA,Virginia,1237262.0,1660787.0,1799885.0,2019-01-01,2026-02-01,423525.0,34.23082580730678,-139098.0,-7.728160410248433,13.0,3.0
AZ,Arizona,1701450.0,1639141.0,1859290.0,2019-01-01,2026-02-01,-62309.0,-3.6621117282318023,-220149.0,-11.84048749791587,14.0,44.0
MA,Massachusetts,1581392.0,1567203.0,1643390.0,2019-01-01,2026-02-01,-14189.0,-0.8972474882887987,-76187.0,-4.635965899755992,15.0,37.0
IN,Indiana,1339542.0,1438283.0,1777256.0,2019-01-01,2026-02-01,98741.0,7.371250770785835,-338973.0,-19.07282912534829,16.0,8.0
TN,Tennessee,1402412.0,1401142.0,1442194.0,2019-01-01,2026-02-01,-1270.0,-0.0905582667575577,-41052.0,-2.8464963798213003,17.0,30.0
MD,Maryland,1327948.0,1388290.0,1460943.0,2019-01-01,2026-02-01,60342.0,4.544003229042101,-72653.0,-4.9730208502316655,18.0,14.0
LA,Louisiana,1551791.0,1367435.0,1526099.0,2019-01-01,2026-02-01,-184356.0,-11.880208095033415,-158664.0,-10.396704276721234,19.0,50.0
KY,Kentucky,1314498.0,1305256.0,1383093.0,2019-01-01,2026-02-01,-9242.0,-0.703082089132125,-77837.0,-5.627748820939734,20.0,35.0
OR,Oregon,983156.0,1288913.0,1318386.0,2019-01-01,2026-02-01,305757.0,31.099540662926334,-29473.0,-2.2355364817284165,21.0,5.0
MO,Missouri,907896.0,1242164.0,1313561.0,2019-01-01,2026-02-01,334268.0,36.8178734128138,-71397.0,-5.43537757287252,22.0,4.0
CO,Colorado,1278203.0,1183855.0,1214270.0,2019-01-01,2026-02-01,-94348.0,-7.38130015341851,-30415.0,-2.504797120903918,23.0,47.0
MN,Minnesota,1057747.0,1135076.0,1168538.0,2019-01-01,2026-02-01,77329.0,7.310727423476503,-33462.0,-2.8635782490599366,24.0,13.0
WI,Wisconsin,1021451.0,1118742.0,1191546.0,2019-01-01,2026-02-01,97291.0,9.524783861389336,-72804.0,-6.110045268919538,25.0,9.0
OK,Oklahoma,730160.0,968741.0,978307.0,2019-01-01,2026-02-01,238581.0,32.67516708666594,-9566.0,-0.9778116685253198,26.0,7.0
SC,South Carolina,1048346.0,967113.0,1063443.0,2019-01-01,2026-02-01,-81233.0,-7.748682209881089,-96330.0,-9.058313421593823,27.0,46.0
AL,Alabama,908319.0,936918.0,955498.0,2019-01-01,2026-02-01,28599.0,3.148563445221338,-18580.0,-1.944535729012515,28.0,21.0
CT,Connecticut,861977.0,903159.0,929063.0,2019-01-01,2026-02-01,41182.0,4.777621676680469,-25904.0,-2.7881855159445594,29.0,17.0
AR,Arkansas,850344.0,798482.0,824245.0,2019-01-01,2026-02-01,-51862.0,-6.098943486400798,-25763.0,-3.125648320584292,30.0,42.0
NV,Nevada,635194.0,727300.0,772086.0,2019-01-01,2026-02-01,92106.0,14.500451830464394,-44786.0,-5.8006491504832365,31.0,10.0
NM,New Mexico,734585.0,680107.0,723600.0,2019-01-01,2026-02-01,-54478.0,-7.416160144843688,-43493.0,-6.010641238253179,32.0,43.0
IA,Iowa,673101.0,670025.0,682234.0,2019-01-01,2026-02-01,-3076.0,-0.4569893671232103,-12209.0,-1.7895619391587052,33.0,31.0
MS,Mississippi,592471.0,587137.0,605205.0,2019-01-01,2026-02-01,-5334.0,-0.9002972297378268,-18068.0,-2.985434687419965,34.0,32.0
WV,West Virginia,521629.0,487229.0,511219.0,2019-01-01,2026-02-01,-34400.0,-6.59472536994684,-23990.0,-4.692705083340017,35.0,41.0
KS,Kansas,390420.0,396574.0,421277.0,2019-01-01,2026-02-01,6154.0,1.5762512166384919,-24703.0,-5.863837807428367,36.0,25.0
HI,Hawaii,330410.0,387233.0,403422.0,2019-01-01,2026-02-01,56823.0,17.197724039829303,-16189.0,-4.012919473900778,37.0,15.0
ME,Maine,242300.0,334056.0,345419.0,2019-01-01,2026-02-01,91756.0,37.8687577383409,-11363.0,-3.289627959087369,38.0,11.0
NE,Nebraska,246966.0,333666.0,347070.0,2019-01-01,2026-02-01,86700.0,35.106046986224825,-13404.0,-3.862045120580863,39.0,12.0
UT,Utah,288016.0,326311.0,343600.0,2019-01-01,2026-02-01,38295.0,13.296136325759681,-17289.0,-5.031722933643771,40.0,19.0
ID,Idaho,267944.0,311066.0,320307.0,2019-01-01,2026-02-01,43122.0,16.093661362075657,-9241.0,-2.885044660279045,41.0,16.0
RI,Rhode Island,309557.0,286204.0,317094.0,2019-01-01,2026-02-01,-23353.0,-7.544006435002277,-30890.0,-9.741590821649101,42.0,40.0
DC,District of Columbia,253658.0,239206.0,260125.0,2019-01-01,2026-02-01,-14452.0,-5.697435129189697,-20919.0,-8.041902931283037,43.0,38.0
DE,Delaware,232614.0,238342.0,247850.0,2019-01-01,2026-02-01,5728.0,2.4624485198655286,-9508.0,-3.836191244704459,44.0,26.0
AK,Alaska,216175.0,210442.0,243847.0,2019-01-01,2026-02-01,-5733.0,-2.652018040939054,-33405.0,-13.699163819936272,45.0,33.0
MT,Montana,280455.0,208151.0,213918.0,2019-01-01,2026-02-01,-72304.0,-25.780963077855628,-5767.0,-2.6958928187436304,46.0,45.0
NH,New Hampshire,183652.0,172022.0,188741.0,2019-01-01,2026-02-01,-11630.0,-6.332629102868468,-16719.0,-8.858170720723107,47.0,36.0
VT,Vermont,158440.0,149308.0,157905.0,2019-01-01,2026-02-01,-9132.0,-5.763696036354456,-8597.0,-5.444412779835978,48.0,34.0
SD,South Dakota,111178.0,137536.0,145286.0,2019-01-01,2026-02-01,26358.0,23.70792782744788,-7750.0,-5.334306127224922,49.0,22.0
ND,North Dakota,91060.0,103737.0,107935.0,2019-01-01,2026-02-01,12677.0,13.921590160333846,-4198.0,-3.8893778663084264,50.0,23.0
WY,Wyoming,58059.0,58942.0,63816.0,2019-01-01,2026-02-01,883.0,1.5208667045591553,-4874.0,-7.637583051272408,51.0,29.0
