state_abbreviation,state_name,reporting_month,preliminary_or_updated,final_report,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,total_applications_for_financial_assistance_submitted_at_state_level,total_medicaid_and_chip_determinations,national_enrollment_rank
CA,California,2026-02-01,P,N,12447923.0,11206969.0,1240954.0,172960.0,150977.0,1.0
NY,New York,2026-02-01,P,N,6423072.0,5765633.0,657439.0,588083.0,116976.0,2.0
TX,Texas,2026-02-01,P,N,3997752.0,3651928.0,345824.0,98889.0,59289.0,3.0
FL,Florida,2026-02-01,P,N,3580247.0,3414969.0,165278.0,239516.0,143927.0,4.0
PA,Pennsylvania,2026-02-01,P,N,2994399.0,2715845.0,278554.0,101139.0,85575.0,5.0
IL,Illinois,2026-02-01,P,N,2988258.0,2666845.0,321413.0,133810.0,38802.0,6.0
NC,North Carolina,2026-02-01,P,N,2849341.0,2503652.0,345689.0,30062.0,44892.0,7.0
OH,Ohio,2026-02-01,P,N,2681863.0,2439802.0,242061.0,68183.0,35274.0,8.0
MI,Michigan,2026-02-01,P,N,2194454.0,2027525.0,166929.0,47799.0,34362.0,9.0
GA,Georgia,2026-02-01,P,N,1841369.0,1659357.0,182012.0,57044.0,21715.0,10.0
WA,Washington,2026-02-01,P,N,1784702.0,1718979.0,65723.0,148517.0,38806.0,11.0
NJ,New Jersey,2026-02-01,P,N,1739068.0,1482629.0,256439.0,30014.0,25648.0,12.0
VA,Virginia,2026-02-01,P,N,1660787.0,1469914.0,190873.0,35271.0,29062.0,13.0
AZ,Arizona,2026-02-01,P,N,1639141.0,1527741.0,111400.0,39704.0,29994.0,14.0
MA,Massachusetts,2026-02-01,P,N,1567203.0,1383816.0,183387.0,17640.0,9616.0,15.0
IN,Indiana,2026-02-01,P,N,1438283.0,1317985.0,120298.0,63533.0,47656.0,16.0
TN,Tennessee,2026-02-01,P,N,1401142.0,1223332.0,177810.0,30669.0,11812.0,17.0
MD,Maryland,2026-02-01,P,N,1388290.0,1192846.0,195444.0,134590.0,94342.0,18.0
LA,Louisiana,2026-02-01,P,N,1367435.0,1231040.0,136395.0,24333.0,10222.0,19.0
KY,Kentucky,2026-02-01,P,N,1305256.0,1176615.0,128641.0,8139.0,10292.0,20.0
OR,Oregon,2026-02-01,P,N,1288913.0,1106086.0,182827.0,14152.0,223528.0,21.0
MO,Missouri,2026-02-01,P,N,1242164.0,1107774.0,134390.0,25019.0,25068.0,22.0
CO,Colorado,2026-02-01,P,N,1183855.0,1044511.0,139344.0,21831.0,17696.0,23.0
MN,Minnesota,2026-02-01,P,N,1135076.0,1131094.0,3982.0,19679.0,8585.0,24.0
WI,Wisconsin,2026-02-01,P,N,1118742.0,1018694.0,100048.0,22173.0,16569.0,25.0
OK,Oklahoma,2026-02-01,P,N,968741.0,890835.0,77906.0,43746.0,75856.0,26.0
SC,South Carolina,2026-02-01,P,N,967113.0,853622.0,113491.0,15422.0,3526.0,27.0
AL,Alabama,2026-02-01,P,N,936918.0,740700.0,196218.0,12337.0,12224.0,28.0
CT,Connecticut,2026-02-01,P,N,903159.0,877669.0,25490.0,17475.0,9913.0,29.0
AR,Arkansas,2026-02-01,P,N,798482.0,715111.0,83371.0,22803.0,14307.0,30.0
NV,Nevada,2026-02-01,P,N,727300.0,680222.0,47078.0,16077.0,8617.0,31.0
NM,New Mexico,2026-02-01,P,N,680107.0,636198.0,43909.0,12375.0,12724.0,32.0
IA,Iowa,2026-02-01,P,N,670025.0,585321.0,84704.0,18300.0,11371.0,33.0
MS,Mississippi,2026-02-01,P,N,587137.0,503605.0,83532.0,16047.0,8541.0,34.0
WV,West Virginia,2026-02-01,P,N,487229.0,447364.0,39865.0,18567.0,7692.0,35.0
KS,Kansas,2026-02-01,P,N,396574.0,324334.0,72240.0,13068.0,713.0,36.0
HI,Hawaii,2026-02-01,P,N,387233.0,361658.0,25575.0,3409.0,4192.0,37.0
ME,Maine,2026-02-01,P,N,334056.0,312922.0,21134.0,6576.0,7204.0,38.0
NE,Nebraska,2026-02-01,P,N,333666.0,296393.0,37273.0,8741.0,7312.0,39.0
UT,Utah,2026-02-01,P,N,326311.0,291629.0,34682.0,24547.0,38624.0,40.0
ID,Idaho,2026-02-01,P,N,311066.0,291471.0,19595.0,7519.0,7707.0,41.0
RI,Rhode Island,2026-02-01,P,N,286204.0,251044.0,35160.0,1441.0,1994.0,42.0
DC,District of Columbia,2026-02-01,P,N,239206.0,223016.0,16190.0,918.0,0.0,43.0
DE,Delaware,2026-02-01,P,N,238342.0,224335.0,14007.0,3924.0,4206.0,44.0
AK,Alaska,2026-02-01,P,N,210442.0,197587.0,12855.0,2601.0,2158.0,45.0
MT,Montana,2026-02-01,P,N,208151.0,188346.0,19805.0,4019.0,3274.0,46.0
NH,New Hampshire,2026-02-01,P,N,172022.0,153037.0,18985.0,5132.0,3662.0,47.0
VT,Vermont,2026-02-01,P,N,149308.0,143842.0,5466.0,4807.0,2672.0,48.0
SD,South Dakota,2026-02-01,P,N,137536.0,122936.0,14600.0,4303.0,18238.0,49.0
ND,North Dakota,2026-02-01,P,N,103737.0,98345.0,5392.0,2535.0,2417.0,50.0
WY,Wyoming,2026-02-01,P,N,58942.0,52961.0,5981.0,1366.0,2063.0,51.0
