state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,latest_medicaid_enrollment,latest_chip_enrollment,national_enrollment_rank,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,latest_applications_submitted,latest_total_determinations,determinations_per_application,applications_per_1000_enrollees,determinations_per_1000_enrollees,missingness_percent,missingness_rank,latest_month_preliminary_status,caution_flag,data_quality_note,map_latest_enrollment,map_percent_change_since_2019,map_last_12_month_change,map_applications_per_1000_enrollees,map_determinations_per_1000_enrollees,map_missingness_percent
AK,Alaska,2026-02-01,210442.0,197587.0,12855.0,45.0,-5733.0,-2.652018040939054,-33405.0,-13.699163819936272,2601.0,2158.0,0.7887544199946172,890.9308855141023,702.7256738589665,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,210442.0,-2.652018040939054,-33405.0,890.9308855141023,702.7256738589665,15.7
AL,Alabama,2026-02-01,936918.0,740700.0,196218.0,28.0,28599.0,3.148563445221338,-18580.0,-1.944535729012515,12337.0,12224.0,1.3962570867246702,873.6174774905894,1219.7945940327654,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,936918.0,3.148563445221338,-18580.0,873.6174774905894,1219.7945940327654,15.7
AR,Arkansas,2026-02-01,798482.0,715111.0,83371.0,30.0,-51862.0,-6.098943486400798,-25763.0,-3.125648320584292,22803.0,14307.0,0.7058473355736918,1769.4929702102147,1248.991898339258,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,798482.0,-6.098943486400798,-25763.0,1769.4929702102147,1248.991898339258,15.7
AZ,Arizona,2026-02-01,1639141.0,1527741.0,111400.0,14.0,-62309.0,-3.6621117282318014,-220149.0,-11.84048749791587,39704.0,29994.0,0.1365865268621582,3436.588218625262,469.3916490374359,15.83,3.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1639141.0,-3.6621117282318014,-220149.0,3436.588218625262,469.3916490374359,15.83
CA,California,2026-02-01,12447923.0,11206969.0,1240954.0,1.0,533529.0,4.478020451564721,-1050743.0,-7.784050661006058,172960.0,150977.0,0.8983139589454722,1142.630058156181,1026.4405311523738,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,12447923.0,4.478020451564721,-1050743.0,1142.630058156181,1026.4405311523738,15.7
CO,Colorado,2026-02-01,1183855.0,1044511.0,139344.0,23.0,-94348.0,-7.38130015341851,-30415.0,-2.504797120903918,21831.0,17696.0,0.8475038910829119,1298.9104011742031,1100.8316191632032,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1183855.0,-7.38130015341851,-30415.0,1298.9104011742031,1100.8316191632032,15.7
CT,Connecticut,2026-02-01,903159.0,877669.0,25490.0,29.0,41182.0,4.777621676680469,-25904.0,-2.7881855159445594,17475.0,9913.0,0.7826928385683658,1478.832512064981,1157.471616635327,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,903159.0,4.777621676680469,-25904.0,1478.832512064981,1157.471616635327,15.7
DC,District of Columbia,2026-02-01,239206.0,223016.0,16190.0,43.0,-14452.0,-5.697435129189697,-20919.0,-8.041902931283037,918.0,0.0,0.5205255031273717,714.3252764963776,371.8245239448758,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,239206.0,-5.697435129189697,-20919.0,714.3252764963776,371.8245239448758,15.7
DE,Delaware,2026-02-01,238342.0,224335.0,14007.0,44.0,5728.0,2.4624485198655286,-9508.0,-3.836191244704459,3924.0,4206.0,0.9198051717837256,1396.2222815714867,1284.2524755491263,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,238342.0,2.4624485198655286,-9508.0,1396.2222815714867,1284.2524755491263,15.7
FL,Florida,2026-02-01,3580247.0,3414969.0,165278.0,4.0,-99743.0,-2.7104149739537333,-157281.0,-4.208155764986911,239516.0,143927.0,0.5546872758586965,6114.831091006946,3391.8190002067035,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,3580247.0,-2.7104149739537333,-157281.0,6114.831091006946,3391.8190002067035,15.7
GA,Georgia,2026-02-01,1841369.0,1659357.0,182012.0,10.0,3110.0,0.169181818231272,-107024.0,-5.492936999876308,57044.0,21715.0,0.5114240308044942,1929.4779726058596,986.7814020985718,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1841369.0,0.169181818231272,-107024.0,1929.4779726058596,986.7814020985718,15.7
HI,Hawaii,2026-02-01,387233.0,361658.0,25575.0,37.0,56823.0,17.197724039829303,-16189.0,-4.012919473900778,3409.0,4192.0,1.0469755698588243,833.594252175538,872.7528172025245,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,387233.0,17.197724039829303,-16189.0,833.594252175538,872.7528172025245,15.7
IA,Iowa,2026-02-01,670025.0,585321.0,84704.0,33.0,-3076.0,-0.4569893671232103,-12209.0,-1.7895619391587052,18300.0,11371.0,0.6064911788975351,1904.3976531833916,1155.0003777688944,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,670025.0,-0.4569893671232103,-12209.0,1904.3976531833916,1155.0003777688944,15.7
ID,Idaho,2026-02-01,311066.0,291471.0,19595.0,41.0,43122.0,16.093661362075657,-9241.0,-2.885044660279045,7519.0,7707.0,0.9845981115753436,2314.910895883889,2279.256896552464,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,311066.0,16.093661362075657,-9241.0,2314.910895883889,2279.256896552464,15.7
IL,Illinois,2026-02-01,2988258.0,2666845.0,321413.0,6.0,3425.0,0.1147467881787691,-216613.0,-6.758867985638112,133810.0,38802.0,0.6092971468336813,1566.7958433938518,954.6442370507452,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,2988258.0,0.1147467881787691,-216613.0,1566.7958433938518,954.6442370507452,15.7
IN,Indiana,2026-02-01,1438283.0,1317985.0,120298.0,16.0,98741.0,7.371250770785835,-338973.0,-19.07282912534829,63533.0,47656.0,0.5913246805088779,2725.671083626144,1611.7565826975167,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1438283.0,7.371250770785835,-338973.0,2725.671083626144,1611.7565826975167,15.7
KS,Kansas,2026-02-01,396574.0,324334.0,72240.0,36.0,6154.0,1.576251216638492,-24703.0,-5.863837807428367,13068.0,713.0,0.0445796877734828,1092.6132613865807,48.70835804978061,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,396574.0,1.576251216638492,-24703.0,1092.6132613865807,48.70835804978061,15.7
KY,Kentucky,2026-02-01,1305256.0,1176615.0,128641.0,20.0,-9242.0,-0.703082089132125,-77837.0,-5.627748820939734,8139.0,10292.0,1.2914810338252662,741.884579681627,958.1298639462508,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1305256.0,-0.703082089132125,-77837.0,741.884579681627,958.1298639462508,15.7
LA,Louisiana,2026-02-01,1367435.0,1231040.0,136395.0,19.0,-184356.0,-11.880208095033415,-158664.0,-10.396704276721234,24333.0,10222.0,0.4441150061780843,1127.0472069474051,500.5385772764394,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1367435.0,-11.880208095033415,-158664.0,1127.0472069474051,500.5385772764394,15.7
MA,Massachusetts,2026-02-01,1567203.0,1383816.0,183387.0,15.0,-14189.0,-0.8972474882887987,-76187.0,-4.635965899755992,17640.0,9616.0,0.6921438851679687,956.774314750426,662.2254914402806,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1567203.0,-0.8972474882887987,-76187.0,956.774314750426,662.2254914402806,15.7
MD,Maryland,2026-02-01,1388290.0,1192846.0,195444.0,18.0,60342.0,4.544003229042101,-72653.0,-4.9730208502316655,134590.0,94342.0,0.5933201514944687,5916.030793561654,3510.100286681942,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1388290.0,4.544003229042101,-72653.0,5916.030793561654,3510.100286681942,15.7
ME,Maine,2026-02-01,334056.0,312922.0,21134.0,38.0,91756.0,37.8687577383409,-11363.0,-3.289627959087369,6576.0,7204.0,1.292707410290772,1803.343432155634,2331.195418046783,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,334056.0,37.8687577383409,-11363.0,1803.343432155634,2331.195418046783,15.7
MI,Michigan,2026-02-01,2194454.0,2027525.0,166929.0,9.0,-140641.0,-6.022924120860179,-207924.0,-8.654924412394719,47799.0,34362.0,0.8402142391246897,1315.4838303319998,1105.288245583234,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,2194454.0,-6.022924120860179,-207924.0,1315.4838303319998,1105.288245583234,15.7
MN,Minnesota,2026-02-01,1135076.0,1131094.0,3982.0,24.0,77329.0,7.310727423476503,-33462.0,-2.8635782490599366,19679.0,8585.0,0.5113825219951226,1572.2285957471097,804.0102244460069,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1135076.0,7.310727423476503,-33462.0,1572.2285957471097,804.0102244460069,15.7
MO,Missouri,2026-02-01,1242164.0,1107774.0,134390.0,22.0,334268.0,36.8178734128138,-71397.0,-5.43537757287252,25019.0,25068.0,0.6584609256520921,1511.351983297069,995.1662259079134,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1242164.0,36.8178734128138,-71397.0,1511.351983297069,995.1662259079134,15.7
MS,Mississippi,2026-02-01,587137.0,503605.0,83532.0,34.0,-5334.0,-0.9002972297378268,-18068.0,-2.985434687419965,16047.0,8541.0,0.5682906299872077,2180.0037141332773,1238.8756840792528,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,587137.0,-0.9002972297378268,-18068.0,2180.0037141332773,1238.8756840792528,15.7
MT,Montana,2026-02-01,208151.0,188346.0,19805.0,46.0,-72304.0,-25.780963077855628,-5767.0,-2.6958928187436304,4019.0,3274.0,0.9333796752333292,1135.879798281838,1060.2071172244016,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,208151.0,-25.780963077855628,-5767.0,1135.879798281838,1060.2071172244016,15.7
NC,North Carolina,2026-02-01,2849341.0,2503652.0,345689.0,7.0,937677.0,49.05030381908118,-13916.0,-0.4860199416259176,30062.0,44892.0,1.4586689768753065,997.63310536915,1455.216461105753,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,2849341.0,49.05030381908118,-13916.0,997.63310536915,1455.216461105753,15.7
ND,North Dakota,2026-02-01,103737.0,98345.0,5392.0,50.0,12677.0,13.921590160333846,-4198.0,-3.8893778663084255,2535.0,2417.0,0.8498103654856175,2024.6269938728376,1720.5490056351232,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,103737.0,13.921590160333846,-4198.0,2024.6269938728376,1720.5490056351232,15.7
NE,Nebraska,2026-02-01,333666.0,296393.0,37273.0,39.0,86700.0,35.106046986224825,-13404.0,-3.862045120580863,8741.0,7312.0,0.8089773047869203,2012.5398372798843,1628.099053338988,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,333666.0,35.106046986224825,-13404.0,2012.5398372798843,1628.099053338988,15.7
NH,New Hampshire,2026-02-01,172022.0,153037.0,18985.0,47.0,-11630.0,-6.332629102868468,-16719.0,-8.858170720723107,5132.0,3662.0,0.7851924382289013,2083.806130978463,1636.1888167793124,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,172022.0,-6.332629102868468,-16719.0,2083.806130978463,1636.1888167793124,15.7
NJ,New Jersey,2026-02-01,1739068.0,1482629.0,256439.0,12.0,8256.0,0.4770015460951276,-63758.0,-3.536558713930241,30014.0,25648.0,0.7754138876021088,1476.7200772512433,1145.0692560014727,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1739068.0,0.4770015460951276,-63758.0,1476.7200772512433,1145.0692560014727,15.7
NM,New Mexico,2026-02-01,680107.0,636198.0,43909.0,32.0,-54478.0,-7.416160144843688,-43493.0,-6.010641238253179,12375.0,12724.0,0.9936842746468344,1370.9658747926112,1362.3072308588587,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,680107.0,-7.416160144843688,-43493.0,1370.9658747926112,1362.3072308588587,15.7
NV,Nevada,2026-02-01,727300.0,680222.0,47078.0,31.0,92106.0,14.500451830464394,-44786.0,-5.8006491504832365,16077.0,8617.0,0.4785041061649787,2104.9747750383767,1007.2390732295656,15.79,4.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,727300.0,14.500451830464394,-44786.0,2104.9747750383767,1007.2390732295656,15.79
