state_abbreviation,state_name,latest_reporting_month,state_population,population_year,total_medicaid_chip_enrollment_per_1000_residents,medicaid_enrollment_per_1000_residents,chip_enrollment_per_1000_residents,applications_per_100000_residents,determinations_per_100000_residents
AK,Alaska,2026-02-01,740133,2024,284.329979,266.961479,17.368500,351.423325,291.569218
AL,Alabama,2026-02-01,5157699,2024,181.654261,143.610552,38.043709,239.195812,237.004912
AR,Arkansas,2026-02-01,3088354,2024,258.546138,231.550852,26.995286,738.354476,463.256479
AZ,Arizona,2026-02-01,7582384,2024,216.177524,201.485575,14.691949,523.634783,395.574795
CA,California,2026-02-01,39431263,2024,315.686642,284.215319,31.471323,438.636723,382.886544
CO,Colorado,2026-02-01,5957493,2024,198.716977,175.327273,23.389704,366.446087,297.037697
CT,Connecticut,2026-02-01,3675069,2024,245.752937,238.817013,6.935924,475.501276,269.736432
DC,District of Columbia,2026-02-01,702250,2024,340.627981,317.573514,23.054468,130.722677,0.000000
DE,Delaware,2026-02-01,1051917,2024,226.578713,213.263024,13.315689,373.033234,399.841432
FL,Florida,2026-02-01,23372215,2024,153.183898,146.112339,7.071559,1024.789478,615.803851
GA,Georgia,2026-02-01,11180878,2024,164.689124,148.410259,16.278865,510.192491,194.215517
HI,Hawaii,2026-02-01,1446146,2024,267.768953,250.084016,17.684936,235.730002,289.873913
IA,Iowa,2026-02-01,3241488,2024,206.702909,180.571700,26.131209,564.555537,350.795684
ID,Idaho,2026-02-01,2001619,2024,155.407198,145.617623,9.789575,375.645915,385.038311
IL,Illinois,2026-02-01,12710158,2024,235.107856,209.819972,25.287884,1052.779989,305.283380
IN,Indiana,2026-02-01,6924275,2024,207.716042,190.342671,17.373371,917.540103,688.245340
KS,Kansas,2026-02-01,2970606,2024,133.499360,109.181090,24.318270,439.910241,24.001837
KY,Kentucky,2026-02-01,4588372,2024,284.470396,256.434090,28.036306,177.383176,224.306137
LA,Louisiana,2026-02-01,4597740,2024,297.414599,267.748938,29.665662,529.238278,222.326621
MA,Massachusetts,2026-02-01,7136171,2024,219.613992,193.915757,25.698235,247.191386,134.750134
MD,Maryland,2026-02-01,6263220,2024,221.657550,190.452515,31.205035,2148.894658,1506.285904
ME,Maine,2026-02-01,1405012,2024,237.760247,222.718382,15.041864,468.038707,512.735834
MI,Michigan,2026-02-01,10140459,2024,216.405786,199.944105,16.461681,471.369195,338.860401
MN,Minnesota,2026-02-01,5793151,2024,195.934130,195.246766,0.687363,339.694235,148.192236
MO,Missouri,2026-02-01,6245466,2024,198.890523,177.372513,21.518010,400.594607,401.379177
MS,Mississippi,2026-02-01,2943045,2024,199.499838,171.116989,28.382848,545.251602,290.209630
MT,Montana,2026-02-01,1137233,2024,183.032853,165.617776,17.415077,353.401634,287.891751
NC,North Carolina,2026-02-01,11046024,2024,257.951730,226.656397,31.295333,272.152224,406.408677
ND,North Dakota,2026-02-01,796568,2024,130.229936,123.460897,6.769039,318.240251,303.426701
NE,Nebraska,2026-02-01,2005465,2024,166.378371,147.792657,18.585715,435.859015,364.603720
NH,New Hampshire,2026-02-01,1409032,2024,122.085233,108.611444,13.473789,364.221678,259.894736
NJ,New Jersey,2026-02-01,9500851,2024,183.043393,156.052232,26.991161,315.908543,269.954765
NM,New Mexico,2026-02-01,2130256,2024,319.260690,298.648613,20.612077,580.916096,597.299104
NV,Nevada,2026-02-01,3267467,2024,222.588323,208.180220,14.408103,492.032513,263.721103
NY,New York,2026-02-01,19867248,2024,323.299533,290.207934,33.091599,2960.062712,588.788140
OH,Ohio,2026-02-01,11883304,2024,225.683278,205.313438,20.369840,573.771402,296.836637
OK,Oklahoma,2026-02-01,4095393,2024,236.544087,217.521249,19.022839,1068.175875,1852.227613
OR,Oregon,2026-02-01,4272371,2024,301.685645,258.892779,42.792866,331.244641,5231.942638
PA,Pennsylvania,2026-02-01,13078751,2024,228.951450,207.653238,21.298211,773.307788,654.305598
RI,Rhode Island,2026-02-01,1112308,2024,257.306430,225.696480,31.609950,129.550448,179.266894
SC,South Carolina,2026-02-01,5478831,2024,176.518130,155.803674,20.714455,281.483404,64.356794
SD,South Dakota,2026-02-01,924669,2024,148.740793,132.951359,15.789434,465.355711,1972.381468
TN,Tennessee,2026-02-01,7227750,2024,193.855903,169.254886,24.601017,424.322922,163.425686
TX,Texas,2026-02-01,31290831,2024,127.761132,116.709205,11.051928,316.031875,189.477231
UT,Utah,2026-02-01,3503613,2024,93.135572,83.236647,9.898924,700.619618,1102.404860
VA,Virginia,2026-02-01,8811195,2024,188.486011,166.823456,21.662555,400.297576,329.830403
VT,Vermont,2026-02-01,648493,2024,230.238414,221.809642,8.428773,741.257037,412.032204
WA,Washington,2026-02-01,7958180,2024,224.260070,216.001523,8.258547,1866.218155,487.624055
WI,Wisconsin,2026-02-01,5960975,2024,187.677687,170.893855,16.783832,371.969351,277.957884
WV,West Virginia,2026-02-01,1769979,2024,275.273887,252.751021,22.522866,1048.995497,434.581427
WY,Wyoming,2026-02-01,587618,2024,100.306662,90.128281,10.178381,232.463948,351.078422
