state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,latest_medicaid_enrollment,latest_chip_enrollment,state_population,population_denominator_year,population_denominator_source,population_source_url,population_date_accessed,population_notes,applications_per_1000_enrollees,determinations_per_1000_enrollees,determinations_per_application,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,latest_applications_submitted,latest_total_determinations,latest_month_preliminary_status,missingness_percent,data_quality_note,medicaid_chip_enrollment_per_1000_residents,medicaid_enrollment_per_1000_residents,chip_enrollment_per_1000_residents,applications_submitted_per_100000_residents,eligibility_determinations_per_100000_residents,map_medicaid_chip_enrollment_per_1000_residents,map_medicaid_enrollment_per_1000_residents,map_chip_enrollment_per_1000_residents,map_applications_per_100000_residents,map_determinations_per_100000_residents
AK,Alaska,2026-02-01,210442.0,197587.0,12855.0,740133,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",890.9308855141023,702.7256738589665,0.7887544199946172,-5733.0,-2.652018040939054,-33405.0,-13.699163819936272,2601.0,2158.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,284.329979,266.961479,17.368500,351.423325,291.569218,284.329979,266.961479,17.368500,351.423325,291.569218
AL,Alabama,2026-02-01,936918.0,740700.0,196218.0,5157699,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",873.6174774905894,1219.7945940327654,1.3962570867246702,28599.0,3.148563445221338,-18580.0,-1.944535729012515,12337.0,12224.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,181.654261,143.610552,38.043709,239.195812,237.004912,181.654261,143.610552,38.043709,239.195812,237.004912
AR,Arkansas,2026-02-01,798482.0,715111.0,83371.0,3088354,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1769.4929702102147,1248.991898339258,0.7058473355736918,-51862.0,-6.098943486400798,-25763.0,-3.125648320584292,22803.0,14307.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,258.546138,231.550852,26.995286,738.354476,463.256479,258.546138,231.550852,26.995286,738.354476,463.256479
AZ,Arizona,2026-02-01,1639141.0,1527741.0,111400.0,7582384,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",3436.588218625262,469.3916490374359,0.1365865268621582,-62309.0,-3.6621117282318014,-220149.0,-11.84048749791587,39704.0,29994.0,Preliminary,15.83,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,216.177524,201.485575,14.691949,523.634783,395.574795,216.177524,201.485575,14.691949,523.634783,395.574795
CA,California,2026-02-01,12447923.0,11206969.0,1240954.0,39431263,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1142.630058156181,1026.4405311523738,0.8983139589454722,533529.0,4.478020451564721,-1050743.0,-7.784050661006058,172960.0,150977.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,315.686642,284.215319,31.471323,438.636723,382.886544,315.686642,284.215319,31.471323,438.636723,382.886544
CO,Colorado,2026-02-01,1183855.0,1044511.0,139344.0,5957493,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1298.9104011742031,1100.8316191632032,0.8475038910829119,-94348.0,-7.38130015341851,-30415.0,-2.504797120903918,21831.0,17696.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,198.716977,175.327273,23.389704,366.446087,297.037697,198.716977,175.327273,23.389704,366.446087,297.037697
CT,Connecticut,2026-02-01,903159.0,877669.0,25490.0,3675069,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1478.832512064981,1157.471616635327,0.7826928385683658,41182.0,4.777621676680469,-25904.0,-2.7881855159445594,17475.0,9913.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,245.752937,238.817013,6.935924,475.501276,269.736432,245.752937,238.817013,6.935924,475.501276,269.736432
DC,District of Columbia,2026-02-01,239206.0,223016.0,16190.0,702250,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",714.3252764963776,371.8245239448758,0.5205255031273717,-14452.0,-5.697435129189697,-20919.0,-8.041902931283037,918.0,0.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,340.627981,317.573514,23.054468,130.722677,0.000000,340.627981,317.573514,23.054468,130.722677,0.000000
DE,Delaware,2026-02-01,238342.0,224335.0,14007.0,1051917,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1396.2222815714867,1284.2524755491263,0.9198051717837256,5728.0,2.4624485198655286,-9508.0,-3.836191244704459,3924.0,4206.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,226.578713,213.263024,13.315689,373.033234,399.841432,226.578713,213.263024,13.315689,373.033234,399.841432
FL,Florida,2026-02-01,3580247.0,3414969.0,165278.0,23372215,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",6114.831091006946,3391.8190002067035,0.5546872758586965,-99743.0,-2.7104149739537333,-157281.0,-4.208155764986911,239516.0,143927.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,153.183898,146.112339,7.071559,1024.789478,615.803851,153.183898,146.112339,7.071559,1024.789478,615.803851
